molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,readout,smiles,pActivity
CHEMBL501079,CHEMBL3176,Galanin receptor 2,IC50,=,3.5,nM,CHEMBL953145,B,Displacement of radiolabeled galanin from human galanin 2 receptor,CHEMBL1140203,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(N)=O,8.455931955649724
CHEMBL501079,CHEMBL3176,Galanin receptor 2,IC50,=,3.5,nM,CHEMBL982017,B,Inhibition of human GAL2 receptor,CHEMBL1155111,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(N)=O,8.455931955649724
CHEMBL1921901,CHEMBL3176,Galanin receptor 2,IC50,=,4570.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,Cc1ccc(C)c(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)c1,5.34008379993015
CHEMBL1921902,CHEMBL3176,Galanin receptor 2,IC50,=,1090.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)cc1,5.962573502059376
CHEMBL1921903,CHEMBL3176,Galanin receptor 2,IC50,=,6620.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,FC(F)(F)Oc1cccc(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)c1,5.1791420105603
CHEMBL1921988,CHEMBL3176,Galanin receptor 2,IC50,=,3380.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,FC(F)Oc1ccc(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)cc1,5.471083299722345
CHEMBL1921989,CHEMBL3176,Galanin receptor 2,IC50,=,4150.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,FC(F)Oc1cccc(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)c1,5.3819519032879075
CHEMBL1921990,CHEMBL3176,Galanin receptor 2,IC50,=,3690.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,c1ccc(Nc2cc(NCc3ccc4c(c3)OCO4)nc(N3CCCCC3)n2)cc1,5.432973633840939
CHEMBL1921991,CHEMBL3176,Galanin receptor 2,IC50,=,8650.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(Nc3ccccc3)nc(N3CCCCC3)n2)cc1F,5.062983892535186
CHEMBL1921992,CHEMBL3176,Galanin receptor 2,IC50,=,3400.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(N3CCN(c4ccccc4)CC3)nc(N3CCCC3)n2)cc1,5.468521082957745
CHEMBL1921993,CHEMBL3176,Galanin receptor 2,IC50,=,930.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(Nc3cccc(OC)c3)nc(N3CCCC3)n2)cc1,6.031517051446064
CHEMBL1921994,CHEMBL3176,Galanin receptor 2,IC50,=,8040.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(Nc3ccc(OC)cc3)nc(N3CCCC3)n2)cc1,5.094743951251549
CHEMBL1921995,CHEMBL3176,Galanin receptor 2,IC50,=,12500.0,nM,CHEMBL1924415,B,Displacement of [125I]galanin from GalR2 by gamma counting,CHEMBL1921679,IC50,COc1ccc(Nc2cc(Nc3ccc(OC(F)F)cc3)nc(NC3CCCCC3)n2)cc1,4.903089986991944
