molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,readout,smiles,pActivity
CHEMBL4558185,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,5200.0,nM,CHEMBL4344234,B,Antagonist activity at human CCR8 expressed in CHOK1 cells assessed as reduction in CCL1-induced beta-arrestin 2 recruitment incubated for 30 mins followed by CCL1 addition and measured after 90 or 180 mins by pathhunter beta-arrestin assay,CHEMBL4342456,IC50,CC[C@]12C=C(C(=O)OC)n3c(c(CCNC(=O)c4ccc(Br)cc4)c4ccccc43)[C@H]1N(C#N)CCC2,5.2839966563652006
CHEMBL4744046,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,7290.0,nM,CHEMBL4726266,B,Antagonist activity at human CCR8 expressed in CHO-K1 cells by PathHunter beta-arrestin assay,CHEMBL4725259,IC50,COC(=O)[C@@H]1[C@H]2C[C@@H](c3[nH]c4ccccc4c3CCn3cc(-c4cccc(Cl)c4)nn3)N(C#N)C[C@@H]2CC[C@@H]1O,5.137272471682025
CHEMBL5268017,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,10.0,nM,CHEMBL5261129,B,Inhibition of CCR8 mutant (unknown origin),CHEMBL5260798,IC50,COc1ccccc1Oc1cccc(CN2CCC3(CC2)C(=O)NCN3CCc2ccccc2)c1,8.0
CHEMBL5270110,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,31.62,nM,CHEMBL5261129,B,Inhibition of CCR8 mutant (unknown origin),CHEMBL5260798,IC50,COc1ccccc1Oc1cccc(CN2CCC(O)(c3ccccc3C(=O)O)CC2)c1,7.50003813440381
CHEMBL5272687,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,15.85,nM,CHEMBL5261129,B,Inhibition of CCR8 mutant (unknown origin),CHEMBL5260798,IC50,CCNS(=O)(=O)c1ccc(OC)cc1C1(O)CCN(Cc2cccc(Oc3ccccc3OC)c2)CC1,7.79997073344623
CHEMBL5277802,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,10.0,nM,CHEMBL5261129,B,Inhibition of CCR8 mutant (unknown origin),CHEMBL5260798,IC50,COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C(CCN3CCCC3)c3ccccc3)CC2)c1,8.0
CHEMBL5273480,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,50.12,nM,CHEMBL5261129,B,Inhibition of CCR8 mutant (unknown origin),CHEMBL5260798,IC50,COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C3CC(=O)Nc4ccccc43)CC2)c1,7.299988937677888
CHEMBL5407071,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,24.0,nM,CHEMBL5384113,B,Antagonist activity against CCR8 (unknown origin) expressed in CHO-K1 cells preincubated for 1 hr followed by CCL1 addition measured after 24 hrs by ONE-Glo assay,CHEMBL5380842,IC50,Cc1cc(S(=O)(=O)N[C@H](C)C2CCN(C)CC2)ccc1NC(=O)c1ccccc1C,7.619788758288394
CHEMBL5415778,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,500.0,nM,CHEMBL5384113,B,Antagonist activity against CCR8 (unknown origin) expressed in CHO-K1 cells preincubated for 1 hr followed by CCL1 addition measured after 24 hrs by ONE-Glo assay,CHEMBL5380842,IC50,CCCC(=O)N1CCCC(C(C)NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)C1,6.301029995663981
CHEMBL5432566,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,112.0,nM,CHEMBL5384113,B,Antagonist activity against CCR8 (unknown origin) expressed in CHO-K1 cells preincubated for 1 hr followed by CCL1 addition measured after 24 hrs by ONE-Glo assay,CHEMBL5380842,IC50,Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC(C)C2CCCNC2)c2ccccc12,6.950781977329818
CHEMBL5399315,CHEMBL4596,C-C chemokine receptor type 8,IC50,=,29.0,nM,CHEMBL5384113,B,Antagonist activity against CCR8 (unknown origin) expressed in CHO-K1 cells preincubated for 1 hr followed by CCL1 addition measured after 24 hrs by ONE-Glo assay,CHEMBL5380842,IC50,Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC(C)C2CCNCC2)c2ccccc12,7.537602002101044
