molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,readout,smiles,pActivity
CHEMBL173499,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,364.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CCC(O)CSc2cccc(F)c2)[C@H](O)C[C@@H]1O,6.438898616350944
CHEMBL434173,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,5000.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CCC(O)CNc2ccccc2)[C@H](O)C[C@@H]1O,5.301029995663981
CHEMBL37853,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,496.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(Cl)c2)[C@H](O)C[C@@H]1O,6.304518323509802
CHEMBL290969,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,5600.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,5.251811972993799
CHEMBL173299,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,912.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CCC(O)CSc2ccccc2)[C@H](O)C[C@@H]1O,6.0400051616715835
CHEMBL172250,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,2700.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CCC(O)CSc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,5.568636235841012
CHEMBL369797,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,1100.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CCC(O)CSc2cccs2)[C@H](O)C[C@@H]1O,5.958607314841775
CHEMBL425681,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,713.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)COc2ccccc2)[C@H](O)C[C@@H]1O,6.146910470148134
CHEMBL36041,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,1360.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)COc2cccc(Cl)c2)[C@H](O)C[C@@H]1O,5.866461091629782
CHEMBL176692,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,4600.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,Cc1cccc(SCC(O)CC[C@@H]2[C@@H](CCCCCCC(=O)O)[C@@H](O)C[C@H]2O)c1,5.337242168318426
CHEMBL815,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,380.0,nM,CHEMBL766135,B,Affinity for Prostanoid EP1 receptor expressed in COS-7 cells.,CHEMBL1132967,IC50,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,6.42021640338319
CHEMBL815,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,220.0,nM,CHEMBL766137,B,In vitro binding at EP1 human prostaglandin receptor using [3H]PGE-2 as radioligand,CHEMBL1134785,IC50,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,6.657577319177793
CHEMBL290969,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,1100.0,nM,CHEMBL766784,B,Displacement of [3H]PGE-2 from Prostaglandin E receptor EP1 expressed in CHO-KI cells,CHEMBL1133030,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,5.958607314841775
CHEMBL289568,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,10000.0,nM,CHEMBL766784,B,Displacement of [3H]PGE-2 from Prostaglandin E receptor EP1 expressed in CHO-KI cells,CHEMBL1133030,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)CCc2cccc(F)c2)[C@H](O)C[C@@H]1O,5.0
CHEMBL36911,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,3450.0,nM,CHEMBL766784,B,Displacement of [3H]PGE-2 from Prostaglandin E receptor EP1 expressed in CHO-KI cells,CHEMBL1133030,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)CCc2ccc(F)cc2)[C@H](O)C[C@@H]1O,5.462180904926726
CHEMBL289373,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,3100.0,nM,CHEMBL766784,B,Displacement of [3H]PGE-2 from Prostaglandin E receptor EP1 expressed in CHO-KI cells,CHEMBL1133030,IC50,O=C(O)CCCCCC[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2F)[C@H](O)C[C@@H]1O,5.508638306165727
CHEMBL37244,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,10000.0,nM,CHEMBL766784,B,Displacement of [3H]PGE-2 from Prostaglandin E receptor EP1 expressed in CHO-KI cells,CHEMBL1133030,IC50,Cc1ccccc1CC[C@H](O)CC[C@@H]1[C@@H](CCCCCCC(=O)O)[C@@H](O)C[C@H]1O,5.0
CHEMBL382197,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,18550.0,nM,CHEMBL869623,B,Binding affinity to human EP1 receptor expressed in HEK293 cells,CHEMBL1146126,IC50,O=C(O)c1ccc(CCCN2C(=O)CC[C@@H]2CCC(O)Cc2cccc(-c3ccccc3)c2)s1,4.731656086048935
CHEMBL362543,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,6.31,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2sccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,8.199970640755865
CHEMBL207175,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,398.11,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2nccnc2-c2cc(Cl)ccc2OCc2ccccc2)c1,6.399996913372259
CHEMBL210268,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,316.23,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2cnccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,6.499996931948306
CHEMBL209244,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,79.43,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2ccncc2-c2cc(Cl)ccc2OCc2ccccc2)c1,7.100015437450609
CHEMBL206096,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,100.0,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2ncccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,7.0
CHEMBL207174,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,50.12,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,7.299988937677888
CHEMBL208030,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,79.43,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C1OCC(c2cc(Cl)ccc2OCc2ccccc2)=C1c1cccc(C(=O)O)c1,7.100015437450609
CHEMBL207293,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,125.89,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-n2cncc2-c2cc(Cl)ccc2OCc2ccccc2)c1,6.900008766455316
CHEMBL380667,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,79.43,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-n2nccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,7.100015437450609
CHEMBL207688,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,199.53,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,Cc1ccc(-c2cccc(C(=O)O)c2)n1-c1cc(Cl)ccc1OCc1ccccc1,6.699991797446187
CHEMBL383090,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,10.0,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-n2cccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,8.0
CHEMBL377649,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,7.943,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,8.100015437450608
CHEMBL377852,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,7.943,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,Cc1ccc(-c2cc(Cl)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,8.100015437450608
CHEMBL207577,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,12.59,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)c1,7.899974269892137
CHEMBL362543,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,5.0,nM,CHEMBL870036,B,Displacement of [3H]PGE2 from human EP1 receptor expressed in CHO-K1 cells,CHEMBL1147700,IC50,O=C(O)c1cccc(-c2sccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,8.301029995663981
CHEMBL208891,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,100.0,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2c(F)cccc2C(F)(F)F)n1-c1cccc(C(=O)O)c1,7.0
CHEMBL212471,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,12.59,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(C(F)(F)F)cc2F)n1-c1cccc(C(=O)O)c1,7.899974269892137
CHEMBL379753,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,12.59,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2c(F)cccc2Cl)n1-c1cccc(C(=O)O)c1,7.899974269892137
CHEMBL208882,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,15.85,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(F)cc2Cl)n1-c1cccc(C(=O)O)c1,7.79997073344623
CHEMBL378464,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,100.0,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(Cl)c(Cl)c2)n1-c1cccc(C(=O)O)c1,7.0
CHEMBL211059,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,5.012,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(Cl)cc2Cl)n1-c1cccc(C(=O)O)c1,8.299988937677888
CHEMBL211700,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,10.0,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(Cl)cc2)n1-c1cccc(C(=O)O)c1,8.0
CHEMBL210261,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,10.0,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2cccc(Cl)c2)n1-c1cccc(C(=O)O)c1,8.0
CHEMBL380046,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,12.59,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2Cl)n1-c1cccc(C(=O)O)c1,7.899974269892137
CHEMBL210394,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,1.585,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2c(F)cc(F)cc2F)n1-c1cccc(C(=O)O)c1,8.79997073344623
CHEMBL211534,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,1.0,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2c(F)cccc2F)n1-c1cccc(C(=O)O)c1,9.0
CHEMBL378641,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,6.31,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2cccc(F)c2F)n1-c1cccc(C(=O)O)c1,8.199970640755865
CHEMBL209078,CHEMBL1811,Prostanoid EP1 receptor,IC50,=,7.943,nM,CHEMBL865352,B,Inhibition of [3H]PGE2 binding to EP1 receptor expressed in CHO cells,CHEMBL1138923,IC50,Cc1ccc(-c2cc(Br)ccc2OCc2cc(F)ccc2F)n1-c1cccc(C(=O)O)c1,8.100015437450608
