molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL337644,CHEMBL2514,Neurotensin receptor type 2,IC50,=,0.7,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,9.154901959985743
CHEMBL337260,CHEMBL2514,Neurotensin receptor type 2,IC50,=,1.8,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCCNC)C(=O)N[C@@H](CC(C)C)C(=O)O,8.744727494896694
CHEMBL132507,CHEMBL2514,Neurotensin receptor type 2,IC50,=,2.8,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCCN(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O,8.55284196865778
CHEMBL439494,CHEMBL2514,Neurotensin receptor type 2,IC50,=,4.0,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,8.397940008672037
CHEMBL132524,CHEMBL2514,Neurotensin receptor type 2,IC50,=,0.78,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCNC1NCCN1)C(=O)N[C@@H](CC(C)C)C(=O)O,9.10790539730952
CHEMBL339139,CHEMBL2514,Neurotensin receptor type 2,IC50,=,3.0,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,8.522878745280337
CHEMBL133850,CHEMBL2514,Neurotensin receptor type 2,IC50,=,3.5,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCCCN(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O,8.455931955649724
CHEMBL335846,CHEMBL2514,Neurotensin receptor type 2,IC50,=,11.1,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)CCCCCN)C(C)(C)C)C(=O)O,7.954677021213342
CHEMBL342252,CHEMBL2514,Neurotensin receptor type 2,IC50,=,2.7,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)O,8.568636235841012
CHEMBL132794,CHEMBL2514,Neurotensin receptor type 2,IC50,=,3.1,nM,CHEMBL754355,B,Evaluated for binding affinity by inhibiting binding of [125I]Tyr(3)-NT to human Neurotensin receptor 2,CHEMBL1145090,O95665,Neurotensin receptor type 2,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)NC(=O)[C@@H](N)CCCCC[N+](C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O,8.508638306165727
