molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL125288,CHEMBL256,Adenosine receptor A3,IC50,=,490.0,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2ccccc2c2nc(-c3ccc(C(F)(F)F)cc3)nn12,6.309803919971486
CHEMBL332577,CHEMBL256,Adenosine receptor A3,IC50,=,130.0,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2[nH]ncc2c2nc(-c3ccc(C(F)(F)F)cc3)nn12,6.886056647693163
CHEMBL341041,CHEMBL256,Adenosine receptor A3,IC50,=,160.0,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2ccccc2c2nc(-c3ccc(OC)cc3)nn12,6.795880017344075
CHEMBL122512,CHEMBL256,Adenosine receptor A3,IC50,=,0.25,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,9.602059991327963
CHEMBL123705,CHEMBL256,Adenosine receptor A3,IC50,=,0.61,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(C(F)(F)F)cc3)nn12,9.214670164989233
CHEMBL340657,CHEMBL256,Adenosine receptor A3,IC50,=,2.1,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12,8.67778070526608
CHEMBL340580,CHEMBL256,Adenosine receptor A3,IC50,=,260.0,nM,CHEMBL644555,B,Binding affinity for human adenosine A3 receptor expressed in HEK293 cells,CHEMBL1148255,P0DMS8,Adenosine receptor A3,IC50,CCCCc1nc2ccccc2c2nc(-c3ccccc3)nn12,6.585026652029182
CHEMBL115249,CHEMBL256,Adenosine receptor A3,IC50,=,4180.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,CCOc1ccc(CCOC(=O)N2CCN(CCCc3ccccc3)CC2)cc1,5.3788237182249645
CHEMBL116735,CHEMBL256,Adenosine receptor A3,IC50,=,5080.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.29413628771608
CHEMBL116463,CHEMBL256,Adenosine receptor A3,IC50,=,5980.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.223298816011589
CHEMBL326538,CHEMBL256,Adenosine receptor A3,IC50,=,1510.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,O=C(OCc1cccc(Oc2ccccc2)c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.821023052706831
CHEMBL326263,CHEMBL256,Adenosine receptor A3,IC50,=,3480.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.458420756053419
CHEMBL333843,CHEMBL256,Adenosine receptor A3,IC50,=,3330.0,nM,CHEMBL644506,B,Inhibition of human adenosine A3 receptor,CHEMBL1134625,P0DMS8,Adenosine receptor A3,IC50,O=C(NCCCn1c(O)nc2ccccc21)OCc1cc2c(cc1Cl)OCO2,5.47755576649368
