molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3311302,CHEMBL5339,Free fatty acid receptor 4,IC50,=,79.43,nM,CHEMBL3365230,B,Inhibition of human FFA4 receptor expressed in U2OS cells,CHEMBL3351646,Q5NUL3,Free fatty acid receptor 4,IC50,Cc1ccc(S(=O)(=O)NC2c3ccccc3Oc3ccccc32)cc1,7.100015437450609
CHEMBL2315528,CHEMBL5339,Free fatty acid receptor 4,EC50,=,4786.3,nM,CHEMBL2320499,B,Agonist activity at GPR120 (unknown origin),CHEMBL2311524,Q5NUL3,Free fatty acid receptor 4,EC50,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,5.320000083770781
CHEMBL2386371,CHEMBL5339,Free fatty acid receptor 4,EC50,=,300.0,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,CS(=O)(=O)CCCOCc1cccc(C#Cc2ccc(CCC(=O)O)c(F)c2)c1,6.522878745280337
CHEMBL2386370,CHEMBL5339,Free fatty acid receptor 4,EC50,=,300.0,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,CS(=O)(=O)CCCOCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,6.522878745280337
CHEMBL2386369,CHEMBL5339,Free fatty acid receptor 4,EC50,=,300.0,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,CS(=O)(=O)CCOCc1cccc(C#Cc2ccc(CCC(=O)O)c(F)c2)c1,6.522878745280337
CHEMBL2386368,CHEMBL5339,Free fatty acid receptor 4,EC50,=,300.0,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,CS(=O)(=O)CCOCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,6.522878745280337
CHEMBL2386355,CHEMBL5339,Free fatty acid receptor 4,EC50,=,1380.38,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,N#CCCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,5.860001341725205
CHEMBL2386354,CHEMBL5339,Free fatty acid receptor 4,EC50,=,3890.45,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,N#CCc1cccc(C#Cc2ccc(CCC(=O)O)c(F)c2)c1,5.410000161858408
CHEMBL2386353,CHEMBL5339,Free fatty acid receptor 4,EC50,=,933.25,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,6.030002001401658
CHEMBL2315528,CHEMBL5339,Free fatty acid receptor 4,EC50,=,776.25,nM,CHEMBL2389879,B,Agonist activity at C-terminal yellow fluorescent protein-fused human FFA4 receptor transfected in HEK293 cells after 5 mins by BRET assay,CHEMBL2384913,Q5NUL3,Free fatty acid receptor 4,EC50,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,6.109998386815363
