molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL4789123,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2cccnn2c1=O)c1ccc(Cl)c(F)c1,8.0
CHEMBL4781404,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2cccnn2c1=O)c1ccc(Cl)c(Cl)c1,8.0
CHEMBL4753587,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,Cc1ccc([C@H](C)NC(=O)Cn2nc3cccnn3c2=O)cc1F,8.0
CHEMBL4745096,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2cccnn2c1=O)c1ccc(OC(F)(F)F)c(F)c1,8.0
CHEMBL4796254,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2ccc(Cl)nn2c1=O)c1ccc(OC(F)(F)F)cc1,8.0
CHEMBL4792682,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,10.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,Cc1ccc2nn(CC(=O)N[C@@H](C)c3ccc(Cl)c(F)c3)c(=O)n2n1,8.0
CHEMBL4792732,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,1.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,Cc1ccc2nn(CC(=O)N[C@@H](C)c3ccc(Cl)cc3)c(=O)n2n1,9.0
CHEMBL4753640,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,1.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2cc(C3CC3)cnn2c1=O)c1ccc(Cl)c(F)c1,9.0
CHEMBL4765018,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,1.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,C[C@H](NC(=O)Cn1nc2cc(Cl)cnn2c1=O)c1ccc(Cl)c(F)c1,9.0
CHEMBL4762651,CHEMBL3632455,Probable G-protein coupled receptor 139,EC50,=,1.0,nM,CHEMBL4739810,B,Agonist activity at human GPR139 expressed in CHO-K1 cells assessed as induction of beta-arrestin 2 recruitment incubated for 90 mins by PathHunter assay,CHEMBL4739716,Q6DWJ6,Probable G-protein coupled receptor 139,EC50,COc1cnn2c(=O)n(CC(=O)N[C@@H](C)c3ccc(Cl)c(F)c3)nc2c1,9.0
