molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL1474387,CHEMBL5162,Neuropeptide S receptor,IC50,=,3.5,nM,CHEMBL3088889,B,Displacement of [125I]Tyr10-NPS from human neuropeptide S receptor expressed in CHO cells after 1.5 hrs by liquid scintillation counting,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1C/C=C/c1ccccc1.[Br-],8.455931955649724
CHEMBL1210313,CHEMBL5162,Neuropeptide S receptor,IC50,=,6.7,nM,CHEMBL3088889,B,Displacement of [125I]Tyr10-NPS from human neuropeptide S receptor expressed in CHO cells after 1.5 hrs by liquid scintillation counting,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,CCC(C)(CCN1CCOCC1)N(Cc1cc2ccccc2n(C)c1=O)C(=O)C1CCCCC1,8.173925197299173
CHEMBL469695,CHEMBL5162,Neuropeptide S receptor,IC50,=,25.0,nM,CHEMBL3088889,B,Displacement of [125I]Tyr10-NPS from human neuropeptide S receptor expressed in CHO cells after 1.5 hrs by liquid scintillation counting,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,O=C(NCc1ccc(F)cc1)N1CCN2C(=O)OC(c3ccccc3)(c3ccccc3)C2C1,7.6020599913279625
CHEMBL1210313,CHEMBL5162,Neuropeptide S receptor,IC50,=,11.0,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,CCC(C)(CCN1CCOCC1)N(Cc1cc2ccccc2n(C)c1=O)C(=O)C1CCCCC1,7.958607314841775
CHEMBL469695,CHEMBL5162,Neuropeptide S receptor,IC50,=,14.0,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,O=C(NCc1ccc(F)cc1)N1CCN2C(=O)OC(c3ccccc3)(c3ccccc3)C2C1,7.853871964321762
CHEMBL1472563,CHEMBL5162,Neuropeptide S receptor,IC50,=,6.2,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1CCCCCc1ccccc1.O=C([O-])C(F)(F)F,8.207608310501746
CHEMBL1553073,CHEMBL5162,Neuropeptide S receptor,IC50,=,15.0,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1CCCCc1ccccc1.[Br-],7.823908740944319
CHEMBL1474387,CHEMBL5162,Neuropeptide S receptor,IC50,=,1.3,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1C/C=C/c1ccccc1.[Br-],8.886056647693163
CHEMBL3086834,CHEMBL5162,Neuropeptide S receptor,IC50,=,13.0,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1C(=O)Cc1ccccc1.[Br-],7.886056647693163
CHEMBL1315807,CHEMBL5162,Neuropeptide S receptor,IC50,=,16.0,nM,CHEMBL3088890,B,Antagonist activity at neuropeptide S receptor (unknown origin) expressed in CHO cells assessed as inhibition of NPS-induced ERK activation after 20 mins by HTRF assay,CHEMBL3085664,Q6W5P4,Neuropeptide S receptor,IC50,Cc1c(P(=S)(c2ccccc2)c2ccccc2)n2ccccc2[n+]1CCc1ccccc1.[Br-],7.795880017344075
