molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL4746135,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,56.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(Cl)c4F)n2CCO3)ccn1,7.251811972993799
CHEMBL4759692,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,102.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4ccccc4Cl)n2CCO3)ccn1,6.991399828238082
CHEMBL4743615,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,89.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4ccccc4OC(F)(F)F)n2CCO3)ccn1,7.050609993355087
CHEMBL4751613,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,78.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(OC(F)(F)F)c4)n2CCO3)ccn1,7.107905397309519
CHEMBL4761139,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,58.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(Cl)c4)n2CCO3)ccn1,7.236572006437063
CHEMBL4744842,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,593.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Cc4cccc(Cl)c4)n2CCO3)ccn1,6.226945306635738
CHEMBL4798957,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,45.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Nc4cccc(OC(F)(F)F)c4)n2CCO3)ccn1,7.346787486224656
CHEMBL4755454,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,63.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,FC(F)(F)Oc1cccc(Nc2nnc3n2CCOc2ccc(-c4ccncc4)cc2-3)c1,7.200659450546418
CHEMBL4752684,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,74.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,CCc1cc(-c2ccc3c(c2)-c2nnc(Nc4cccc(C(F)(F)F)c4)n2CCO3)ccn1,7.130768280269024
CHEMBL4788072,CHEMBL2069161,Probable G-protein coupled receptor 142,IC50,=,63.0,nM,CHEMBL4717447,B,Agonist activity at human GPR142 expressed in CHO cells measured for 3 mins by Fluo-4M dye based FLIPR assay,CHEMBL4715723,Q7Z601,Probable G-protein coupled receptor 142,IC50,Cc1cc(-c2ccc3c(c2)-c2nnc(Nc4cccc(C(F)(F)F)c4)n2CCO3)ccn1,7.200659450546418
