molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL573,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,140.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(O)c1cccnc1,6.853871964321762
CHEMBL235256,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,4.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1ccc(-c2ccc(O)cc2Cl)cc1)Nc1ccccc1C(=O)O,8.397940008672037
CHEMBL237248,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,4.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,8.397940008672037
CHEMBL237543,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,58.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1ccn(-c2ccc(O)cn2)n1)Nc1ccccc1C(=O)O,7.236572006437063
CHEMBL237247,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,51.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1ncc(-c2ccc(O)cn2)s1)Nc1ccccc1C(=O)O,7.292429823902063
CHEMBL237037,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,26.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1cnc(-c2ccc(O)cn2)s1)Nc1ccccc1C(=O)O,7.585026652029182
CHEMBL237036,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,20.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1cnc(-n2cc(O)cn2)s1)Nc1ccccc1C(=O)O,7.698970004336019
CHEMBL236164,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,330.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1nnc(-c2ccc(O)cc2)o1)Nc1ccccc1C(=O)O,6.481486060122112
CHEMBL391813,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,10.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1nc(-c2ccc(O)cc2)no1)Nc1ccccc1C(=O)O,8.0
CHEMBL236163,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,24.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,Cc1c(CCC(=O)Nc2ccccc2C(=O)O)cnn1-c1ccc(O)cc1,7.619788758288394
CHEMBL236162,CHEMBL3785,Hydroxycarboxylic acid receptor 2,IC50,=,1.0,nM,CHEMBL900196,B,Displacement of [3H]niacin from human GPR109A,CHEMBL1138322,Q8TDS4,Hydroxycarboxylic acid receptor 2,IC50,O=C(CCc1cnc(-c2ccc(O)cc2Cl)s1)Nc1ccccc1C(=O)O,9.0
