molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL2382417,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,4.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,CC(C)c1nc(N2C3CCC2CN(c2ncc(OCc4ccncc4C#N)cn2)C3)no1,8.397940008672037
CHEMBL2086690,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,3.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)no1,8.522878745280337
CHEMBL2382416,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,12.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)CC2)no1,7.920818753952375
CHEMBL2382415,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,8.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,N#Cc1cnccc1COc1cnc(N2CC3CCC(C2)N3C(=O)OCC(F)(F)F)nc1,8.096910013008056
CHEMBL2086687,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,31.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,C[C@@H]1CN(C(=O)OCC(F)(F)F)CCN1c1ncc(OCc2ccncc2C#N)cn1,7.508638306165727
CHEMBL2382414,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,18.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,N#Cc1cnccc1COc1cnc(N2CCN(C(=O)OCC(F)(F)F)CC2)nc1,7.7447274948966935
CHEMBL2382413,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,9.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,N#Cc1cnccc1COc1cnc(N2CC3CCC(C2)N3C(=O)OC2CC(F)(F)C2(F)F)nc1,8.045757490560675
CHEMBL2382412,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,6.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,C[C@@H]1CN(C(=O)OC2CC(F)(F)C2(F)F)CCN1c1ncc(OCc2ccncc2C#N)cn1,8.221848749616356
CHEMBL2382411,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,25.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,N#Cc1cnccc1COc1cnc(N2CCN(C(=O)OC3CC(F)(F)C3(F)F)CC2)nc1,7.6020599913279625
CHEMBL2382410,CHEMBL5652,Glucose-dependent insulinotropic receptor,IC50,=,1.0,nM,CHEMBL2382543,B,"Displacement of [3H]-N-(2-fluoro-4-methylsulfonyl-phenyl)-6-[4-(3-isopropyl-1,2,4-oxadiazol-5-yl)-1-piperidyl]-5-nitro-pyrimidin-4-amine from human GPR119 overexpressed in baculovirus infected Sf21 cell membranes after 120 mins by scintillation counting analysis",CHEMBL2380211,Q8TDV5,Glucose-dependent insulinotropic receptor,IC50,CC(C)(C)OC(=O)N1C2CCC1CN(c1ncc(OCc3ccncc3C#N)cn1)C2,9.0
