molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL440696,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,109.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccccn2)cc1,6.962573502059376
CHEMBL314555,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,604.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](COP(=O)(O)O)Cc1ccc(OCc2ccccn2)cc1,6.218963061378869
CHEMBL184055,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,992.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cccnc2)cc1,6.0034883278458215
CHEMBL360727,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,4500.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](COP(=O)(O)O)Cc1ccc(OCc2cccnc2)cc1,5.346787486224656
CHEMBL360399,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,735.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccncc2)cc1,6.133712660915805
CHEMBL185287,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,2840.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cccc(OC)n2)cc1,5.546681659952963
CHEMBL265967,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,6250.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OC)ccn2)cc1,5.204119982655925
CHEMBL183143,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,143.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCC)ccn2)cc1,6.844663962534938
CHEMBL183221,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,84.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCC(F)(F)F)ccn2)cc1,7.075720713938118
CHEMBL291229,CHEMBL3819,Lysophosphatidic acid receptor Edg-2,IC50,=,141.0,nM,CHEMBL827843,B,Inhibitory concentration against Lysophosphatidic acid 1 (LPA1) receptor,CHEMBL1137137,Q92633,Lysophosphatidic acid receptor Edg-2,IC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCCC)ccn2)cc1,6.85078088734462
