molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL376756,CHEMBL5413,Metastin receptor,IC50,=,0.07,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,10.154901959985743
CHEMBL507796,CHEMBL5413,Metastin receptor,IC50,=,240.0,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,6.619788758288394
CHEMBL453956,CHEMBL5413,Metastin receptor,IC50,=,0.24,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@H](C[C@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,9.619788758288394
CHEMBL450923,CHEMBL5413,Metastin receptor,IC50,=,32.0,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@@H](C[C@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,7.494850021680094
CHEMBL503052,CHEMBL5413,Metastin receptor,IC50,=,5.7,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@H](C[C@@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,8.244125144327509
CHEMBL478053,CHEMBL5413,Metastin receptor,IC50,=,380.0,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@@H](C[C@@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,6.42021640338319
CHEMBL444522,CHEMBL5413,Metastin receptor,IC50,=,460.0,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C/C(=C\[C@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,6.337242168318426
CHEMBL448207,CHEMBL5413,Metastin receptor,IC50,=,32.0,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C/C(=C\[C@@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,7.494850021680094
CHEMBL501043,CHEMBL5413,Metastin receptor,IC50,=,4.6,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C/C(=C\CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,8.337242168318426
CHEMBL444664,CHEMBL5413,Metastin receptor,IC50,=,1.2,nM,CHEMBL1008755,B,Displacement of [125I]kisspeptin-15 from human GPR54 expressed in CHO cell membrane,CHEMBL1140226,Q969F8,Metastin receptor,IC50,CC(C)C[C@H](CCCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,8.920818753952375
