molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL184292,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,6310.0,nM,CHEMBL831014,B,Binding affinity against human Melanin-concentrating hormone receptor 2 stably transfected CHO cells was determined using [125I]MCH as radioligand,CHEMBL1137103,Q969V1,Melanin-concentrating hormone receptor 2,IC50,CCN1CCCC1CNC(=O)c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,5.199970640755866
CHEMBL186894,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,2880.0,nM,CHEMBL831014,B,Binding affinity against human Melanin-concentrating hormone receptor 2 stably transfected CHO cells was determined using [125I]MCH as radioligand,CHEMBL1137103,Q969V1,Melanin-concentrating hormone receptor 2,IC50,O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc(C(=O)NCCN2CCN(Cc3ccccc3)CC2)cc1,5.5406075122407685
CHEMBL182554,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,10000.0,nM,CHEMBL831014,B,Binding affinity against human Melanin-concentrating hormone receptor 2 stably transfected CHO cells was determined using [125I]MCH as radioligand,CHEMBL1137103,Q969V1,Melanin-concentrating hormone receptor 2,IC50,COc1cc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)ccc1C(=O)NCCCN1CCCCC1,5.0
CHEMBL184438,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,10000.0,nM,CHEMBL831014,B,Binding affinity against human Melanin-concentrating hormone receptor 2 stably transfected CHO cells was determined using [125I]MCH as radioligand,CHEMBL1137103,Q969V1,Melanin-concentrating hormone receptor 2,IC50,COc1cc(NC(=O)Nc2cccc(Nc3ccccc3)c2)ccc1C(=O)NCCCN1CCCCC1,5.0
CHEMBL196667,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,3.7,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,Cc1cc(N2CCNCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,8.431798275933005
CHEMBL427540,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,6.8,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,Cc1cc(N2CC3CC2CN3)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,8.167491087293763
CHEMBL195635,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,6.3,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,Cc1cc(N2CCC(N3CCCC3)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,8.200659450546418
CHEMBL197026,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,4.7,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,Cc1cc(N2CCC(N)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,8.327902142064282
CHEMBL194408,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,4.5,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,Cc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,8.346787486224656
CHEMBL373084,CHEMBL5038,Melanin-concentrating hormone receptor 2,IC50,=,6.8,nM,CHEMBL871632,B,Displacement of 15 pM [125I]-MCH from human MCH2R expressed in CHO-K1 in whole-cell binding assay,CHEMBL1140405,Q969V1,Melanin-concentrating hormone receptor 2,IC50,CNCCN(C)c1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1,8.167491087293763
