molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3343995,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,800.0,nM,CHEMBL3388388,B,Antagonist activity at human MrgX1 transfected in HEK293 cells by FLIPR assay,CHEMBL3351571,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,COc1ccccc1C(=O)/C=C1\C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,6.096910013008056
CHEMBL1762707,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,50.0,nM,CHEMBL3388388,B,Antagonist activity at human MrgX1 transfected in HEK293 cells by FLIPR assay,CHEMBL3351571,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(CN1CCN(c2ccnc(NCCc3ccc(Cl)cc3)n2)CC1)N(CCCN1CCOCC1)Cc1c(Cl)cncc1Cl,7.301029995663981
CHEMBL3343995,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,320.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,COc1ccccc1C(=O)/C=C1\C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,6.494850021680094
CHEMBL3730717,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,182.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,COc1ccccc1C(O)/C=C1\C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,6.739928612014925
CHEMBL3730405,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1220.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(Nc1cccc2ccccc12)O[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.913640169325252
CHEMBL3730599,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,607.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(Nc1ccccc1Cl)O[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,6.2168113089247425
CHEMBL3731811,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1430.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,C(\Cc1ccccc1)=C1\C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.844663962534938
CHEMBL3727861,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,630.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,OC(/C=C1\C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)c1ccc(F)cc1,6.200659450546418
CHEMBL3728505,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1290.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,FC(F)(F)c1ccccc1CN[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.889410289700751
CHEMBL3731844,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,2400.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(O[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)c1ccccc1C(F)(F)F,5.619788758288394
CHEMBL3732603,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1850.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(Nc1cccc([N+](=O)[O-])c1)O[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.732828271596986
CHEMBL3733177,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1180.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,O=C(Nc1ccccc1Cl)O[C@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.928117992693874
CHEMBL3728009,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,2510.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,COc1ccccc1NC(=S)N[C@@H]1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,5.600326278518962
CHEMBL145103,CHEMBL5850,Mas-related G-protein coupled receptor member X1,IC50,=,1850.0,nM,CHEMBL3734551,B,Binding affinity to recombinant MrgX1 (unknown origin) by chromatography-based technique,CHEMBL3727359,Q96LB2,Mas-related G-protein coupled receptor member X1,IC50,N#Cc1ccc(COC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)cc1,5.732828271596986
CHEMBL3343989,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,50.12,nM,CHEMBL3388384,B,Agonist activity at human MrgX1 transfected in HEK293 cells by FLIPR assay,CHEMBL3351571,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)O,7.299988937677888
CHEMBL475965,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,25.12,nM,CHEMBL3388384,B,Agonist activity at human MrgX1 transfected in HEK293 cells by FLIPR assay,CHEMBL3351571,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,COc1ccc(-c2ccc(C(=O)Nc3cccc(Cn4ncc(N5CCNCC5)cc4=O)c3C)cc2)cn1,7.599980364934842
CHEMBL3717645,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,1000.0,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,N=C(N)NCCC[C@@H](C(N)=O)n1c(-c2cccc(Oc3ccccc3)c2)nc2cc(C(=O)N3CCN(c4ccc(F)cc4)CC3)ccc21,6.0
CHEMBL3716029,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,630.96,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,Cc1cccc(N2CCN(C(=O)c3ccc4c(c3)nc(-c3cccc(Oc5ccccc5)c3)n4[C@@H](CCCNC(=N)N)C(N)=O)CC2C)c1,6.199998172182031
CHEMBL3717681,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,158.49,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,N=C(N)NCCC[C@@H](C(N)=O)n1c(-c2cccc(Oc3ccccc3)c2)nc2cc(C(=O)NCCc3ccccn3)ccc21,6.799998134593398
CHEMBL3719266,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,1000.0,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,CN(CCc1ccccn1)C(=O)c1ccc2c(c1)nc(-c1cccc(Oc3ccccc3)c1)n2[C@@H](CCCNC(=N)N)C(N)=O,6.0
CHEMBL3716921,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,794.33,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,COc1ccc(NC(=O)c2ccc3c(c2)nc(-c2cccc(Oc4ccccc4)c2)n3[C@@H](CCCNC(=N)N)C(N)=O)cc1,6.0999990348465305
CHEMBL3715864,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,630.96,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,CCCCNC(=O)c1ccc2c(c1)nc(-c1cccc(Oc3ccccc3)c1)n2[C@@H](CCCNC(=N)N)C(N)=O,6.199998172182031
CHEMBL3718857,CHEMBL5850,Mas-related G-protein coupled receptor member X1,EC50,=,2511.89,nM,CHEMBL3721003,B,Activation of human MrgX1 receptor expressed in NIH/3T3 cells incubated for 5 days by beta-galactosidase reporter gene assay,CHEMBL3714739,Q96LB2,Mas-related G-protein coupled receptor member X1,EC50,N=C(N)NCCC[C@@H](C(N)=O)n1c(-c2cccc(Oc3ccccc3)c2)nc2cc(C(=O)Nc3nccs3)ccc21,5.59999938302362
