molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL2170390,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,2987.0,nM,CHEMBL2174319,B,Displacement of [125I]26RFa from human GPR103 expressed in HEK293 cells incubated for 1 h by gamma counter based method,CHEMBL2169738,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNNC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.5247647773958715
CHEMBL1802425,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,8730.0,nM,CHEMBL2174319,B,Displacement of [125I]26RFa from human GPR103 expressed in HEK293 cells incubated for 1 h by gamma counter based method,CHEMBL2169738,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.0589857562944305
CHEMBL1802413,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,1.26,nM,CHEMBL2174319,B,Displacement of [125I]26RFa from human GPR103 expressed in HEK293 cells incubated for 1 h by gamma counter based method,CHEMBL2169738,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,8.899629454882437
CHEMBL2170403,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,1994.0,nM,CHEMBL2174319,B,Displacement of [125I]26RFa from human GPR103 expressed in HEK293 cells incubated for 1 h by gamma counter based method,CHEMBL2169738,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CN(CC(O)CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CN1CCNCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.700274846024364
CHEMBL3287584,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,158.49,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,COc1ccc(NC(=N)c2cccs2)cc1CSC1CCCC1,6.799998134593398
CHEMBL3287585,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,79.43,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(OC)c2c1CC[C@@H](N(C)C)C2,7.100015437450609
CHEMBL528724,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,5011.87,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,Cc1cc2nc(NC(=N)N)nc(C)c2cc1C,5.300000202445418
CHEMBL3287586,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,125.89,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,COc1ccc(NC(=N)c2ccsc2)cc1CSC1CCCC1,6.900008766455316
CHEMBL3287810,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,25.12,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,COc1ccc(NC(=N)c2ccccc2)cc1CSC1CCCC1,7.599980364934842
CHEMBL3287811,CHEMBL5852,Pyroglutamylated RFamide peptide receptor,IC50,=,100.0,nM,CHEMBL3295522,B,Displacement of [125I]-QRFP43 from human GPR103 receptor overexpressed in HEK membranes after 90 mins by liquid scintillation counting,CHEMBL3286355,Q96P65,Pyroglutamylated RFamide peptide receptor,IC50,COc1ccc(NC(=N)c2cc(C)cs2)cc1CSC1CCCC1,7.0
