molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL413376,CHEMBL3321651,P2Y purinoceptor 13,IC50,=,2300.0,nM,CHEMBL5257765,B,Antagonist activity at P2Y13 (unknown origin),CHEMBL5257031,Q9BPV8,P2Y purinoceptor 13,IC50,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],5.638272163982407
CHEMBL1256743,CHEMBL3321651,P2Y purinoceptor 13,IC50,=,11600.0,nM,CHEMBL5257765,B,Antagonist activity at P2Y13 (unknown origin),CHEMBL5257031,Q9BPV8,P2Y purinoceptor 13,IC50,Cc1nc(/N=N/c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O.[Na+].[Na+].[Na+].[Na+],4.935542010773082
CHEMBL223344,CHEMBL3321651,P2Y purinoceptor 13,IC50,=,1900.0,nM,CHEMBL5257765,B,Antagonist activity at P2Y13 (unknown origin),CHEMBL5257031,Q9BPV8,P2Y purinoceptor 13,IC50,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)[O-])c4)n3)c(S(=O)(=O)[O-])c2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+].[Na+],5.721246399047171
CHEMBL2219665,CHEMBL3321651,P2Y purinoceptor 13,IC50,=,1071.52,nM,CHEMBL5257766,B,Antagonist activity at human P2Y13,CHEMBL5257031,Q9BPV8,P2Y purinoceptor 13,IC50,Cc1nc(/N=N/c2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O,5.969999718407896
CHEMBL5281019,CHEMBL3321651,P2Y purinoceptor 13,IC50,=,660.69,nM,CHEMBL5257766,B,Antagonist activity at human P2Y13,CHEMBL5257031,Q9BPV8,P2Y purinoceptor 13,IC50,Cc1nc(/N=N/c2ccc(Cl)c([N+](=O)[O-])c2)c(COP(=O)(O)O)c(C=O)c1O,6.180002266489224
CHEMBL5763179,CHEMBL3321651,P2Y purinoceptor 13,EC50,=,55160000.0,nM,CHEMBL5733054,B,"Ca++ flux assay: Compounds were assayed for their agonist activity on P2Y13 GPCR transfected cells using a Ca++ flux assay (associated to fluorescent dye detection) with the Reference Compound as positive reference. Two cell lines, 1321N1-P2Y13 stably expressing human P2Y13 receptor, and 1321N1 parental cell line as control, were used in this assay. 1321N1 Parental and 1321N1 P2Y13 were seeded into T25 flasks at 3 million cells per flask, respectively. Cells were incubated at 37 degrees Celsius in 5% CO2 overnight. The day after, cells were transfected with Gqi5 protein using Fugene transfection reagent (Roche's Fugene Reagent).After 24 hours of transfection, cells were collected from flasks and seeded in 384-well plates at 8000 cells per well. The assays were carried out 48 hours after Gqi5 transfection.Methods: The Ca++ flux assay was conducted according to the manufacturer's protocol (Molecular Devices FLIPR Calcium 4 Assay kit (R8142). Briefly, cell culture media were aspirated from the wells and replaced with 25 μL of Hank's buffer or PBS buffer. 25 μL of Ca++ dye was added into each assay well. The plate was incubated for 1 hour at 37° C. in 5% CO2. After the incubation, the plate was transferred to FlexStation III (FlexStation III (Molecular Devices)). The compounds were automatically injected into each well.",CHEMBL5726628,Q9BPV8,P2Y purinoceptor 13,EC50,CC(C)(CCCCCC(c1ccccc1Cl)N1CCC(O)/C(=C/C(=O)O)C1)C(=O)O,1.258375742496188
CHEMBL5971972,CHEMBL3321651,P2Y purinoceptor 13,EC50,=,42370000.0,nM,CHEMBL5733054,B,"Ca++ flux assay: Compounds were assayed for their agonist activity on P2Y13 GPCR transfected cells using a Ca++ flux assay (associated to fluorescent dye detection) with the Reference Compound as positive reference. Two cell lines, 1321N1-P2Y13 stably expressing human P2Y13 receptor, and 1321N1 parental cell line as control, were used in this assay. 1321N1 Parental and 1321N1 P2Y13 were seeded into T25 flasks at 3 million cells per flask, respectively. Cells were incubated at 37 degrees Celsius in 5% CO2 overnight. The day after, cells were transfected with Gqi5 protein using Fugene transfection reagent (Roche's Fugene Reagent).After 24 hours of transfection, cells were collected from flasks and seeded in 384-well plates at 8000 cells per well. The assays were carried out 48 hours after Gqi5 transfection.Methods: The Ca++ flux assay was conducted according to the manufacturer's protocol (Molecular Devices FLIPR Calcium 4 Assay kit (R8142). Briefly, cell culture media were aspirated from the wells and replaced with 25 μL of Hank's buffer or PBS buffer. 25 μL of Ca++ dye was added into each assay well. The plate was incubated for 1 hour at 37° C. in 5% CO2. After the incubation, the plate was transferred to FlexStation III (FlexStation III (Molecular Devices)). The compounds were automatically injected into each well.",CHEMBL5726628,Q9BPV8,P2Y purinoceptor 13,EC50,CCOC(=O)C(C)(C)CCCC[C@H](c1ccccc1Cl)N1CCc2sccc2C1,1.3729415359990105
CHEMBL5976831,CHEMBL3321651,P2Y purinoceptor 13,EC50,=,33720000.0,nM,CHEMBL5733054,B,"Ca++ flux assay: Compounds were assayed for their agonist activity on P2Y13 GPCR transfected cells using a Ca++ flux assay (associated to fluorescent dye detection) with the Reference Compound as positive reference. Two cell lines, 1321N1-P2Y13 stably expressing human P2Y13 receptor, and 1321N1 parental cell line as control, were used in this assay. 1321N1 Parental and 1321N1 P2Y13 were seeded into T25 flasks at 3 million cells per flask, respectively. Cells were incubated at 37 degrees Celsius in 5% CO2 overnight. The day after, cells were transfected with Gqi5 protein using Fugene transfection reagent (Roche's Fugene Reagent).After 24 hours of transfection, cells were collected from flasks and seeded in 384-well plates at 8000 cells per well. The assays were carried out 48 hours after Gqi5 transfection.Methods: The Ca++ flux assay was conducted according to the manufacturer's protocol (Molecular Devices FLIPR Calcium 4 Assay kit (R8142). Briefly, cell culture media were aspirated from the wells and replaced with 25 μL of Hank's buffer or PBS buffer. 25 μL of Ca++ dye was added into each assay well. The plate was incubated for 1 hour at 37° C. in 5% CO2. After the incubation, the plate was transferred to FlexStation III (FlexStation III (Molecular Devices)). The compounds were automatically injected into each well.",CHEMBL5726628,Q9BPV8,P2Y purinoceptor 13,EC50,CCOC(=O)C(C)(C)CCCC[C@@H](c1ccccc1Cl)N1CCc2sccc2C1,1.472112434047295
CHEMBL6006558,CHEMBL3321651,P2Y purinoceptor 13,EC50,=,40320000.0,nM,CHEMBL5733054,B,"Ca++ flux assay: Compounds were assayed for their agonist activity on P2Y13 GPCR transfected cells using a Ca++ flux assay (associated to fluorescent dye detection) with the Reference Compound as positive reference. Two cell lines, 1321N1-P2Y13 stably expressing human P2Y13 receptor, and 1321N1 parental cell line as control, were used in this assay. 1321N1 Parental and 1321N1 P2Y13 were seeded into T25 flasks at 3 million cells per flask, respectively. Cells were incubated at 37 degrees Celsius in 5% CO2 overnight. The day after, cells were transfected with Gqi5 protein using Fugene transfection reagent (Roche's Fugene Reagent).After 24 hours of transfection, cells were collected from flasks and seeded in 384-well plates at 8000 cells per well. The assays were carried out 48 hours after Gqi5 transfection.Methods: The Ca++ flux assay was conducted according to the manufacturer's protocol (Molecular Devices FLIPR Calcium 4 Assay kit (R8142). Briefly, cell culture media were aspirated from the wells and replaced with 25 μL of Hank's buffer or PBS buffer. 25 μL of Ca++ dye was added into each assay well. The plate was incubated for 1 hour at 37° C. in 5% CO2. After the incubation, the plate was transferred to FlexStation III (FlexStation III (Molecular Devices)). The compounds were automatically injected into each well.",CHEMBL5726628,Q9BPV8,P2Y purinoceptor 13,EC50,CN(C)c1ncc(CN2CCC(c3cc(O)nc(N4CCOCC4)n3)CC2)cn1,1.3944794765625312
CHEMBL5834448,CHEMBL3321651,P2Y purinoceptor 13,EC50,=,298700.0,nM,CHEMBL5733054,B,"Ca++ flux assay: Compounds were assayed for their agonist activity on P2Y13 GPCR transfected cells using a Ca++ flux assay (associated to fluorescent dye detection) with the Reference Compound as positive reference. Two cell lines, 1321N1-P2Y13 stably expressing human P2Y13 receptor, and 1321N1 parental cell line as control, were used in this assay. 1321N1 Parental and 1321N1 P2Y13 were seeded into T25 flasks at 3 million cells per flask, respectively. Cells were incubated at 37 degrees Celsius in 5% CO2 overnight. The day after, cells were transfected with Gqi5 protein using Fugene transfection reagent (Roche's Fugene Reagent).After 24 hours of transfection, cells were collected from flasks and seeded in 384-well plates at 8000 cells per well. The assays were carried out 48 hours after Gqi5 transfection.Methods: The Ca++ flux assay was conducted according to the manufacturer's protocol (Molecular Devices FLIPR Calcium 4 Assay kit (R8142). Briefly, cell culture media were aspirated from the wells and replaced with 25 μL of Hank's buffer or PBS buffer. 25 μL of Ca++ dye was added into each assay well. The plate was incubated for 1 hour at 37° C. in 5% CO2. After the incubation, the plate was transferred to FlexStation III (FlexStation III (Molecular Devices)). The compounds were automatically injected into each well.",CHEMBL5726628,Q9BPV8,P2Y purinoceptor 13,EC50,COc1ccc(CN2CCC(c3cc(O)nc(N4CCCCC4)n3)CC2)cc1O,3.5247647773958715
