molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3356083,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,1.7,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.769551078621726
CHEMBL4169726,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,2.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.698970004336019
CHEMBL4164680,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,802.9,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.095338542084475
CHEMBL4161037,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,1365.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.864867348623225
CHEMBL4168961,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,6132.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.212397853817663
CHEMBL4164449,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,1089.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.962972120244225
CHEMBL3315335,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,43.9,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)CCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,7.357535479757878
CHEMBL4176146,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,10700.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)CCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CN)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,4.97061622231479
CHEMBL4165538,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,21.4,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccc(O)cc2CN1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,7.669586226650809
CHEMBL4174679,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,12.3,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N1Cc2cc(O)ccc2C[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,7.910094888560602
CHEMBL4164026,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,9.9,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.00436480540245
CHEMBL4161902,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,5.6,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.2518119729938
CHEMBL4172552,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,4.3,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.366531544420413
CHEMBL4177021,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,2.4,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,8.619788758288394
CHEMBL4169169,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,1010.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1Cc2cc(O)ccc2C[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.995678626217357
CHEMBL4168753,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,330.8,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N1Cc2cc(O)ccc2C[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.480434499119491
CHEMBL4160825,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,370.5,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.431211787684653
CHEMBL4165337,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,39.1,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,7.407823242604133
CHEMBL4175953,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,424.4,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.372224624770697
CHEMBL4175546,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,195.3,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.709297756712146
CHEMBL4167677,CHEMBL1075144,Neuromedin-U receptor 2,IC50,=,1649.0,nM,CHEMBL4146936,B,Displacement of [3H]-NMU-8 from human NMUR2 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9GZQ4,Neuromedin-U receptor 2,IC50,Cc1cc(O)cc(C)c1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.782779344355481
