molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL5269710,CHEMBL5700,Lysophosphatidic acid receptor 5,IC50,=,2900.0,nM,CHEMBL5242003,B,Antagonist activity at human LPA5 receptor expressed in CHO cells assessed as inhibition of LPA stimulated calcium release incubated for 20 mins followed by LPS stimulation and measured for 90 seconds,CHEMBL5241083,Q9H1C0,Lysophosphatidic acid receptor 5,IC50,Cc1c(COC(C)(C)C(=O)NCc2ccc(C(=O)O)cc2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.537602002101044
CHEMBL5269710,CHEMBL5700,Lysophosphatidic acid receptor 5,IC50,=,1300.0,nM,CHEMBL5242004,B,Antagonist activity at human LPA5 receptor by FLIPR analysis,CHEMBL5241083,Q9H1C0,Lysophosphatidic acid receptor 5,IC50,Cc1c(COC(C)(C)C(=O)NCc2ccc(C(=O)O)cc2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.886056647693163
CHEMBL5290794,CHEMBL5700,Lysophosphatidic acid receptor 5,IC50,=,30.0,nM,CHEMBL5242004,B,Antagonist activity at human LPA5 receptor by FLIPR analysis,CHEMBL5241083,Q9H1C0,Lysophosphatidic acid receptor 5,IC50,Cc1c(COC(C)(C)C(=O)NCc2ccc(C(=O)O)cc2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(C(F)(F)F)cc1,7.522878745280337
CHEMBL5281045,CHEMBL5700,Lysophosphatidic acid receptor 5,IC50,=,1300.0,nM,CHEMBL5242004,B,Antagonist activity at human LPA5 receptor by FLIPR analysis,CHEMBL5241083,Q9H1C0,Lysophosphatidic acid receptor 5,IC50,Cc1c(COC(C)(C)C(=O)NCc2ccc(C(=O)O)cc2)nn(-c2ccccc2Cl)c1-c1ccc(C(F)(F)F)cc1,5.886056647693163
CHEMBL5275347,CHEMBL5700,Lysophosphatidic acid receptor 5,IC50,=,38.0,nM,CHEMBL5242008,B,Antagonist activity at human LPA5 receptor assessed as inhibition of LPS-induced cAMP accumulation incubated for 20 mins,CHEMBL5241083,Q9H1C0,Lysophosphatidic acid receptor 5,IC50,COc1cc2c(C(=O)N3CCCCC3)cn(-c3noc4ccc(C)cc34)c(=O)c2cc1OC,7.42021640338319
CHEMBL2335052,CHEMBL5700,Lysophosphatidic acid receptor 5,EC50,=,0.83,nM,CHEMBL2344994,B,Agonist activity at human LPA5 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay in presence of Ki16425,CHEMBL2331094,Q9H1C0,Lysophosphatidic acid receptor 5,EC50,CCCCCCCCCCCCCCCCCCOCC(COP(O)(O)=S)OC,9.080921907623926
CHEMBL2017139,CHEMBL5700,Lysophosphatidic acid receptor 5,EC50,=,6.3,nM,CHEMBL2344994,B,Agonist activity at human LPA5 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay in presence of Ki16425,CHEMBL2331094,Q9H1C0,Lysophosphatidic acid receptor 5,EC50,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)S)OC,8.200659450546418
CHEMBL2335051,CHEMBL5700,Lysophosphatidic acid receptor 5,EC50,=,1.81,nM,CHEMBL2344994,B,Agonist activity at human LPA5 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay in presence of Ki16425,CHEMBL2331094,Q9H1C0,Lysophosphatidic acid receptor 5,EC50,CCCCCCCCCCCCCCCCCC(=O)OC(COC)COP([O-])(O)=S.[Na+],8.742321425130816
CHEMBL2335050,CHEMBL5700,Lysophosphatidic acid receptor 5,EC50,=,3.0,nM,CHEMBL2344994,B,Agonist activity at human LPA5 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay in presence of Ki16425,CHEMBL2331094,Q9H1C0,Lysophosphatidic acid receptor 5,EC50,CCCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],8.522878745280337
CHEMBL2335049,CHEMBL5700,Lysophosphatidic acid receptor 5,EC50,=,0.26,nM,CHEMBL2344994,B,Agonist activity at human LPA5 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay in presence of Ki16425,CHEMBL2331094,Q9H1C0,Lysophosphatidic acid receptor 5,EC50,CCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],9.585026652029182
