molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL54256,CHEMBL2001,P2Y purinoceptor 12,IC50,=,1100.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,CS(=O)(=O)c1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(S(C)(=O)=O)cc4s3)=C(O)N12,5.958607314841775
CHEMBL53599,CHEMBL2001,P2Y purinoceptor 12,IC50,=,800.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,COc1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(OC)cc4s3)=C(O)N12,6.096910013008056
CHEMBL301805,CHEMBL2001,P2Y purinoceptor 12,IC50,=,77000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,COc1cccc2c1N1C(O)=CS(=O)(=O)N=C1S2,4.113509274827518
CHEMBL299895,CHEMBL2001,P2Y purinoceptor 12,IC50,=,480.0,nM,CHEMBL766762,B,Binding affinity against Purinergic receptor P2Y12 using [3H]2-methylthio-ADP as radioligand,CHEMBL1144962,Q9H244,P2Y purinoceptor 12,IC50,CC(CC[C@@H](C)C1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])C[C@]4(C)[C@@]3(C)CC[C@]12C)C(C)(C)C.[Na+].[Na+].[Na+],6.318758762624412
CHEMBL540200,CHEMBL2001,P2Y purinoceptor 12,IC50,=,170.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,CCOc1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(OCC)cc4s3)=C(O)N12,6.769551078621726
CHEMBL540200,CHEMBL2001,P2Y purinoceptor 12,IC50,=,40.0,nM,CHEMBL766761,B,Compound was evaluated for its ability to inhibit human Purinergic receptor P2Y12 expressed in Xenopus oocyte,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,CCOc1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(OCC)cc4s3)=C(O)N12,7.3979400086720375
CHEMBL301991,CHEMBL2001,P2Y purinoceptor 12,IC50,=,22000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,Cc1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(C)cc4s3)=C(O)N12,4.657577319177793
CHEMBL299983,CHEMBL2001,P2Y purinoceptor 12,IC50,=,35000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,O=C1/C(=C(\O)CS(=O)(=O)Nc2nc3ccc(Cl)cc3s2)S(=O)(=O)N=C2Sc3cc(Cl)ccc3N12,4.455931955649724
CHEMBL53491,CHEMBL2001,P2Y purinoceptor 12,IC50,=,21000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,O=C1/C(=C(\O)CS(=O)(=O)Nc2nc3ccccc3s2)S(=O)(=O)N=C2Sc3ccccc3N12,4.6777807052660805
CHEMBL50806,CHEMBL2001,P2Y purinoceptor 12,IC50,=,170.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,CCOc1ccc2nc(NC(=O)CS(=O)(=O)Nc3nc4ccc(OCC)cc4s3)sc2c1,6.769551078621726
CHEMBL299307,CHEMBL2001,P2Y purinoceptor 12,IC50,=,2200.0,nM,CHEMBL766762,B,Binding affinity against Purinergic receptor P2Y12 using [3H]2-methylthio-ADP as radioligand,CHEMBL1144962,Q9H244,P2Y purinoceptor 12,IC50,CC(C(O)C(O)[C@@H](C)C1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])C[C@]4(C)[C@@]3(C)CC[C@]12C)C(C)(C)C.[Na+].[Na+],5.657577319177793
CHEMBL50192,CHEMBL2001,P2Y purinoceptor 12,IC50,=,37000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,O=C1/C(=C(\O)CS(=O)(=O)Nc2nc3ccc(F)cc3s2)S(=O)(=O)N=C2Sc3cc(F)ccc3N12,4.431798275933005
CHEMBL300750,CHEMBL2001,P2Y purinoceptor 12,IC50,=,35000.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,O=C1/C(=C(\O)CS(=O)(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)S(=O)(=O)N=C2Sc3cc([N+](=O)[O-])ccc3N12,4.455931955649724
CHEMBL300240,CHEMBL2001,P2Y purinoceptor 12,IC50,=,1800.0,nM,CHEMBL766760,B,Ability to displace [3H]2-MeS-ADP from human Purinergic receptor P2Y12,CHEMBL1134134,Q9H244,P2Y purinoceptor 12,IC50,CCOC(=O)c1ccc2c(c1)SC1=NS(=O)(=O)C(C(=O)CS(=O)(=O)Nc3nc4ccc(C(=O)OCC)cc4s3)=C(O)N12,5.7447274948966935
