molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL1093180,CHEMBL3759,Histamine H4 receptor,IC50,=,19.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN1CCN(c2ncnc3c2oc2ccc(Cl)cc23)CC1,7.721246399047171
CHEMBL1092330,CHEMBL3759,Histamine H4 receptor,IC50,=,1900.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CC1CN(c2ncnc3c2oc2ccc(Cl)cc23)CCN1C,5.721246399047171
CHEMBL1092331,CHEMBL3759,Histamine H4 receptor,IC50,=,10000.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CC1CN(c2ncnc3c2oc2ccc(Cl)cc23)CC(C)N1C,5.0
CHEMBL1092332,CHEMBL3759,Histamine H4 receptor,IC50,=,111.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN1C[C@@H]2C[C@H]1CN2c1ncnc2c1oc1ccc(Cl)cc12,6.954677021213342
CHEMBL1092933,CHEMBL3759,Histamine H4 receptor,IC50,=,169.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN1CC2CCC1CN2c1ncnc2c1oc1ccc(Cl)cc12,6.772113295386326
CHEMBL1092934,CHEMBL3759,Histamine H4 receptor,IC50,=,440.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN1C2CCC1CN(c1ncnc3c1oc1ccc(Cl)cc13)C2,6.356547323513812
CHEMBL1090655,CHEMBL3759,Histamine H4 receptor,IC50,=,236.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,Clc1ccc2oc3c(N4CCN5CCCC5C4)ncnc3c2c1,6.627087997029893
CHEMBL1088888,CHEMBL3759,Histamine H4 receptor,IC50,=,21000.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN(C)C1CCN(c2ncnc3c2oc2ccc(Cl)cc23)C1,4.6777807052660805
CHEMBL1088889,CHEMBL3759,Histamine H4 receptor,IC50,=,95.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CNC1CCN(c2ncnc3c2oc2ccc(Cl)cc23)C1,7.022276394711152
CHEMBL1090190,CHEMBL3759,Histamine H4 receptor,IC50,=,33.0,nM,CHEMBL1103488,B,Displacement of [3H]histamine dihydrochloride from human histamine H4 receptor after 2.5 hrs by scintillation proximity assay,CHEMBL1156992,Q9H3N8,Histamine H4 receptor,IC50,CN[C@@H]1CCN(c2ncnc3c2oc2ccc(Cl)cc23)C1,7.481486060122112
