molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3356083,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,0.78,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,9.10790539730952
CHEMBL4169726,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,0.29,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,9.537602002101044
CHEMBL4164680,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,1167.0,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.932929143954629
CHEMBL4161037,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,844.4,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.073451775364381
CHEMBL4168961,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,775.5,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,6.110418197850376
CHEMBL4164449,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,3755.0,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.425390058659813
CHEMBL3315335,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,4286.0,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@H](NC(=O)CCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,5.36794783329419
CHEMBL4176146,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,18320.0,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@H](NC(=O)CCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CN)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,4.737074530668169
CHEMBL4165538,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,0.086,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccc(O)cc2CN1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,10.065501548756432
CHEMBL4174679,CHEMBL1075178,Neuromedin-U receptor 1,IC50,=,0.037,nM,CHEMBL4146935,B,Displacement of [3H]-NMU-8 from human NMUR1 expressed in HEK293 cell membranes after 3 hrs by microscintillation counting,CHEMBL4145476,Q9HB89,Neuromedin-U receptor 1,IC50,CC(=O)N1Cc2cc(O)ccc2C[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(N)=O,10.431798275933005
