molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL119116,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,6.6,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1Cl,8.18045606445813
CHEMBL119256,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,26.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCc1ccc(CNCCCP(=O)(O)O)cc1,7.585026652029182
CHEMBL119382,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,270.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCn1nnc(-c2ccc(CNCCCP(=O)(O)O)cc2)n1,6.568636235841012
CHEMBL441826,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,18.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,7.7447274948966935
CHEMBL325247,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,260.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,6.585026652029182
CHEMBL332373,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,530.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1,6.275724130399211
CHEMBL119413,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,55.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1Cl,7.259637310505756
CHEMBL117715,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,57.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1OC,7.2441251443275085
CHEMBL117723,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,80.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,7.096910013008056
CHEMBL332667,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,23.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1Br,7.638272163982407
CHEMBL118783,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,33.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,7.481486060122112
CHEMBL333335,CHEMBL3724,Lysophosphatidic acid receptor 2,IC50,=,74.0,nM,CHEMBL807594,B,Binding affinity to human sphingosine 1-phosphate receptor 4 expressed in CHO cells was determined by using [33P]-S1P as radioligand,CHEMBL1147471,Q9HBW0,Lysophosphatidic acid receptor 2,IC50,CCCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1,7.130768280269024
