molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL15766,CHEMBL3191,Leukotriene B4 receptor 2,IC50,=,150.0,nM,CHEMBL4627066,B,Displacement of [3H]LTB4 from HA-epitope tagged human BLT2 expressed in CHOK1 cells incubated for 60 mins by liquid scintillation counting method,CHEMBL4622988,Q9NPC1,Leukotriene B4 receptor 2,IC50,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1,6.823908740944319
CHEMBL4745083,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,60.7,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccc(F)cc2C(=O)O)cc1)c1ccccc1,7.2168113089247425
CHEMBL4748657,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,428.0,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccc(Cl)cc2C(=O)O)cc1)c1ccccc1,6.368556230986828
CHEMBL4785658,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,48.4,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1F)c1ccccc1,7.315154638355588
CHEMBL4746259,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,96.0,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCNC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccccc1,7.017728766960431
CHEMBL4748248,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,75.0,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccc(O)cc1,7.1249387366083
CHEMBL4788291,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,167.0,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccncc1,6.777283528852417
CHEMBL4757022,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,134.0,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccc(C#N)cc1,6.872895201635192
CHEMBL4755616,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,48.8,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccc(F)c(F)c1,7.311580177997289
CHEMBL4778464,CHEMBL3191,Leukotriene B4 receptor 2,EC50,=,51.8,nM,CHEMBL4730490,B,Agonist activity at human BLT2 isoform 2 expressed in CHO-K1 cells over-expressing GNA14 assessed as stimulation of IP-1 accumulation incubated for 90 mins by IP-one assay,CHEMBL4725415,Q9NPC1,Leukotriene B4 receptor 2,EC50,CCCCC(=O)N(Cc1ccc(-c2ccccc2C(=O)O)cc1)c1cccc(F)c1,7.285670240254767
