molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL4100658,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,43700.0,nM,CHEMBL4343759,B,Displacement of [3H]PSB-1584 from recombinant human GPR84 expressed in CHO cell membranes co-expressing beta-arrestin2 measured after 6 hrs by scintillation counting method,CHEMBL4342430,Q9NQS5,G-protein coupled receptor 84,IC50,Clc1ccc2c(Cc3c[nH]c4cc(Cl)ccc34)c[nH]c2c1,4.359518563029578
CHEMBL246297,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,14000.0,nM,CHEMBL4343759,B,Displacement of [3H]PSB-1584 from recombinant human GPR84 expressed in CHO cell membranes co-expressing beta-arrestin2 measured after 6 hrs by scintillation counting method,CHEMBL4342430,Q9NQS5,G-protein coupled receptor 84,IC50,Cn1cc(Cc2cn(C)c3ccccc23)c2ccccc21,4.853871964321762
CHEMBL4085470,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,46300.0,nM,CHEMBL4343759,B,Displacement of [3H]PSB-1584 from recombinant human GPR84 expressed in CHO cell membranes co-expressing beta-arrestin2 measured after 6 hrs by scintillation counting method,CHEMBL4342430,Q9NQS5,G-protein coupled receptor 84,IC50,CCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,4.334419008982047
CHEMBL4063898,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,22400.0,nM,CHEMBL4343759,B,Displacement of [3H]PSB-1584 from recombinant human GPR84 expressed in CHO cell membranes co-expressing beta-arrestin2 measured after 6 hrs by scintillation counting method,CHEMBL4342430,Q9NQS5,G-protein coupled receptor 84,IC50,CCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,4.649751981665837
CHEMBL4799780,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,398000.0,nM,CHEMBL4712193,B,Antagonist activity at human C-terminal GFP10-fused GPR84 expressed in HEK293 cells co-expressing Rluc8-tagged Galphai2/GFP10-tagged Ggamma2/Gbeta1 assessed as inhibition of sodium decanoate-induced Galphai activation incubated for 8 mins by BRET assay,CHEMBL4706630,Q9NQS5,G-protein coupled receptor 84,IC50,CCCCCc1cccc(CC(=O)[O-])c1.[Na+],3.4001169279263124
CHEMBL4799780,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,208000.0,nM,CHEMBL4712194,B,Antagonist activity at human C-terminal GFP10-fused GPR84 expressed in HEK293 cells co-expressing Rluc8-tagged Galphai2/GFP10-tagged Ggamma2/Gbeta1 assessed as inhibition of embelin-induced Galphai activation incubated for 8 mins by BRET assay,CHEMBL4706630,Q9NQS5,G-protein coupled receptor 84,IC50,CCCCCc1cccc(CC(=O)[O-])c1.[Na+],3.681936665037238
CHEMBL4762090,CHEMBL3714079,G-protein coupled receptor 84,IC50,=,17000.0,nM,CHEMBL4712195,B,Antagonist activity at human C-terminal GFP10-fused GPR84 expressed in HEK293 cells co-expressing Rluc8-tagged Galphai2/GFP10-tagged Ggamma2/Gbeta1 assessed as inhibition of embelin-induced Galphai activation incubated for 10 mins by BRET assay,CHEMBL4706630,Q9NQS5,G-protein coupled receptor 84,IC50,CCCCCc1cc(CCCCC)cc(CC(=O)[O-])c1.[Na+],4.769551078621726
CHEMBL107498,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,6080.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCCCCCCCC(=O)O,5.216096420727265
CHEMBL221137,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,400.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,6.3979400086720375
CHEMBL446452,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,1640.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,5.785156151952302
CHEMBL4101219,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,1230.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cccc2[nH]cc(Cc3c[nH]c4cccc(F)c34)c12,5.910094888560602
CHEMBL246298,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,1200.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,COc1ccc2[nH]cc(Cc3c[nH]c4ccc(OC)cc34)c2c1,5.920818753952375
CHEMBL4101728,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,4330.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1ccc2[nH]cc(Cc3c[nH]c4ccc(F)cc34)c2c1,5.363512103646634
CHEMBL4082668,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,7530.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1ccc2c(Cc3c[nH]c4cc(F)ccc34)c[nH]c2c1,5.123205023799299
CHEMBL4100658,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,5340.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Clc1ccc2c(Cc3c[nH]c4cc(Cl)ccc34)c[nH]c2c1,5.272458742971444
CHEMBL4062512,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,6070.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cccc2c(Cc3c[nH]c4c(F)cccc34)c[nH]c12,5.2168113089247425
CHEMBL4104992,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,3980.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cc2c(Cc3c[nH]c4cc(Cl)c(F)cc34)c[nH]c2cc1Cl,5.400116927926312
CHEMBL4078546,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,10300.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cc2[nH]cc(Cc3c[nH]c4cc(F)c(F)cc34)c2cc1F,4.987162775294828
CHEMBL4088884,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,5470.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cc(F)c2[nH]cc(Cc3c[nH]c4c(F)cc(F)cc34)c2c1,5.262012673666569
CHEMBL4105236,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,2270.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,c1cnc2[nH]cc(Cc3c[nH]c4ncccc34)c2c1,5.6439741428068775
CHEMBL4085470,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,2970.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,5.527243550682788
CHEMBL4063898,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,6070.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,5.2168113089247425
CHEMBL4099626,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,7290.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CC(C)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,5.137272471682025
CHEMBL4087824,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,19000.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,O=C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,4.721246399047171
CHEMBL4095532,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,6470.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,COc1ccc2[nH]cc(Cc3c[nH]c4ccccc34)c2c1,5.189095719331299
CHEMBL4075099,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,1080.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1ccc2[nH]cc(Cc3c[nH]c4ccccc34)c2c1,5.96657624451305
CHEMBL4087204,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,2970.0,nM,CHEMBL4015220,B,Agonist activity at human GPR84 expressed in CHO cells assessed as beta-arrestin recruitment after 90 mins by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,Fc1cc2cc[nH]c2cc1F,5.527243550682788
CHEMBL221137,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,421.0,nM,CHEMBL4015253,B,Agonist activity at human PK-tagged GPR84 expressed in CHOK1 cells assessed as EA-tagged beta-arrestin recruitment by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,6.375717904164332
CHEMBL107498,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,10000.0,nM,CHEMBL4015254,B,Agonist activity at human GPR84 assessed as beta-arrestin recruitment by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCCCCCCCC(=O)O,5.0
CHEMBL221137,CHEMBL3714079,G-protein coupled receptor 84,EC50,=,12300.0,nM,CHEMBL4015254,B,Agonist activity at human GPR84 assessed as beta-arrestin recruitment by beta-galactosidase complementation assay,CHEMBL4014307,Q9NQS5,G-protein coupled receptor 84,EC50,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,4.910094888560602
