molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL383095,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,207.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCC(=O)OC[C@@H](COP(=O)(O)O)OC(=O)CCCCCCC,6.684029654543082
CHEMBL379248,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,302.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCNC(=O)[C@@H](COP(O)(O)=S)NC(=O)CCCCCCC,6.51999305704285
CHEMBL440396,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,251.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCNC(=O)[C@H](COP(O)(O)=S)NC(=O)CCCCCCC,6.600326278518962
CHEMBL202251,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,935.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCNC(=O)[C@@H](COP(=O)(O)O)NC(=O)CCCCCCC,6.029188389127482
CHEMBL204037,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,414.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCNC(=O)[C@H](COP(=O)(O)O)NC(=O)CCCCCCC,6.3829996588791005
CHEMBL427017,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,184.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCOC[C@@H](COP(O)(O)=S)OCCCCCCCC,6.735182176990463
CHEMBL203986,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,143.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCCOC[C@@H](COP(=O)(O)O)OCCCCCCCC,6.844663962534938
CHEMBL202361,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,11.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCC(=O)OC[C@H](COP(O)(O)=S)OC(=O)CCCCCCC,7.958607314841775
CHEMBL202185,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,85.0,nM,CHEMBL865902,B,Activity at LPA3 receptor transfected RH7777 cells,CHEMBL1149458,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCC,7.070581074285707
CHEMBL482505,CHEMBL3250,Lysophosphatidic acid receptor 3,IC50,=,143.0,nM,CHEMBL955653,B,Inhibition of LPA3 receptor,CHEMBL1150359,Q9UBY5,Lysophosphatidic acid receptor 3,IC50,CCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCC,6.844663962534938
