molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL366221,CHEMBL3764,Urotensin-2 receptor,IC50,=,158.49,nM,CHEMBL831664,B,Inhibition of hU-II-mediated [Ca2+]i mobilization in HEK293 cells expressing human recombinant Urotensin 2 receptor in FLIPR assay,CHEMBL1140236,Q9UKP6,Urotensin-2 receptor,IC50,CN(C)CCCOc1ccc(CN2CC[C@H](NC(=O)c3ccc(Cl)c(Cl)c3)C2)cc1,6.799998134593398
CHEMBL1163360,CHEMBL3764,Urotensin-2 receptor,IC50,=,67.0,nM,CHEMBL1167042,B,Binding affinity to human urotensin 2 receptor,CHEMBL1165847,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc2c(cc1OC)C(CCc1cc(F)ccc1F)N(CCNC(=O)Nc1cc(C)nc3ccccc13)CC2,7.173925197299173
CHEMBL1164032,CHEMBL3764,Urotensin-2 receptor,IC50,=,3.6,nM,CHEMBL1167042,B,Binding affinity to human urotensin 2 receptor,CHEMBL1165847,Q9UKP6,Urotensin-2 receptor,IC50,Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1.O=S(=O)(O)O,8.443697499232712
CHEMBL2348529,CHEMBL3764,Urotensin-2 receptor,IC50,=,2100.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(OC[C@@H]3CCCN3C)c2)cc1OC,5.6777807052660805
CHEMBL2348528,CHEMBL3764,Urotensin-2 receptor,IC50,=,800.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(OC[C@H]3CCCN3C)c2)cc1OC,6.096910013008056
CHEMBL2348527,CHEMBL3764,Urotensin-2 receptor,IC50,=,840.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(OCCN3CCN(C)CC3)c2)cc1OC,6.075720713938118
CHEMBL2348526,CHEMBL3764,Urotensin-2 receptor,IC50,=,6200.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(OCCN3CCOCC3)c2)cc1OC,5.207608310501746
CHEMBL2348524,CHEMBL3764,Urotensin-2 receptor,IC50,=,160.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(O[C@@H]3CCCN(C)C3)c2)cc1OC,6.795880017344075
CHEMBL2348523,CHEMBL3764,Urotensin-2 receptor,IC50,=,134.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(OCCN(C)C)c2)cc1OC,6.872895201635192
CHEMBL522770,CHEMBL3764,Urotensin-2 receptor,IC50,=,6.0,nM,CHEMBL2351692,B,Displacement of [125I]-U2 from human recombinant urotensin2 receptor expressed in human Chem-2 cells after 4 hrs by scintillation proximity assay,CHEMBL2346623,Q9UKP6,Urotensin-2 receptor,IC50,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(O[C@@H]3CCN(C)C3)c2)cc1OC,8.221848749616356
