molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3577140,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,320.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C)(C)COP(=O)(O)OC[C@H](N)C(=O)O,6.494850021680094
CHEMBL3577138,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,410.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,6.3872161432802645
CHEMBL1742484,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,550.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,6.259637310505756
CHEMBL3577144,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,1400.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,5.853871964321762
CHEMBL3577145,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,290.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,6.537602002101044
CHEMBL3577147,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,840.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,6.075720713938118
CHEMBL3577149,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,3100.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCC/C=C\CCCCCCCC(=O)OCCCOP(=O)(O)OC[C@H](N)C(=O)O,5.508638306165727
CHEMBL567724,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,1700.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCCCCCCCCCCCC(=O)OCCCOP(=O)(O)OC[C@H](N)C(=O)O,5.769551078621726
CHEMBL3577151,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,700.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCCCCCCCC(=O)OCCCOP(=O)(O)OC[C@H](N)C(=O)O,6.154901959985743
CHEMBL3577170,CHEMBL3562165,Probable G-protein coupled receptor 34,EC50,=,930.0,nM,CHEMBL3579719,B,Agonist activity at GPR34 (unknown origin) transfected in HEK293A cells after 1 hr by TGFalpha shedding assay,CHEMBL3576865,Q9UPC5,Probable G-protein coupled receptor 34,EC50,CCCCCCCCCOc1ccccc1CCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,6.031517051446064
