molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL787,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,0.5,nM,CHEMBL663213,B,Compound were tested for inhibitory activity against Cysteinyl leukotriene D4 receptor,CHEMBL1129361,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,9.301029995663981
CHEMBL89340,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,3.1,nM,CHEMBL663213,B,Compound were tested for inhibitory activity against Cysteinyl leukotriene D4 receptor,CHEMBL1129361,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CN(C)C(=O)CCS[C@H](SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],8.508638306165727
CHEMBL267475,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,4000.0,nM,CHEMBL663212,B,Compound was tested for binding affinity against Cysteinyl leukotriene D4 receptor,CHEMBL1129361,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CCCc1c(OCC(O)COc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O,5.3979400086720375
CHEMBL89768,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,3.1,nM,CHEMBL663210,B,In vitro inhibitory activity against Cysteinyl leukotriene D4 receptor from human lung membrane,CHEMBL1125088,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CN(C)C(=O)CCSC(SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],8.508638306165727
CHEMBL280481,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,8.0,nM,CHEMBL663210,B,In vitro inhibitory activity against Cysteinyl leukotriene D4 receptor from human lung membrane,CHEMBL1125088,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,8.096910013008056
CHEMBL313177,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,6.42,nM,CHEMBL710519,B,Inhibition of binding of [ H]-LTD4 to DMSO differentiated U937 cell membranes,CHEMBL1128064,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,O=C(O)CC1(CS[C@H](CCc2ccccc2C(O)(C(F)(F)F)C(F)(F)F)c2cccc(/C=C/c3ccc4sc(Cl)c(Cl)c4n3)c2)CC1,8.192464971931146
CHEMBL316170,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,1.06,nM,CHEMBL710519,B,Inhibition of binding of [ H]-LTD4 to DMSO differentiated U937 cell membranes,CHEMBL1128064,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(CCc2ccc3sc(Cl)c(Cl)c3n2)c1,8.97469413473523
CHEMBL82790,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,4.7,nM,CHEMBL710519,B,Inhibition of binding of [ H]-LTD4 to DMSO differentiated U937 cell membranes,CHEMBL1128064,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,O=C(O)CC1(CS[C@H](CCc2ccc(Br)cc2)c2cccc(/C=C/c3ccc4sc(Cl)c(Cl)c4n3)c2)CC1,8.327902142064282
CHEMBL84707,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,1.91,nM,CHEMBL710519,B,Inhibition of binding of [ H]-LTD4 to DMSO differentiated U937 cell membranes,CHEMBL1128064,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3scc(Cl)c3n2)c1,8.718966632752272
CHEMBL86264,CHEMBL1798,Cysteinyl leukotriene receptor 1,IC50,=,8.49,nM,CHEMBL710519,B,Inhibition of binding of [ H]-LTD4 to DMSO differentiated U937 cell membranes,CHEMBL1128064,Q9Y271,Cysteinyl leukotriene receptor 1,IC50,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3sccc3n2)c1,8.071092309756047
