molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL465,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,14200.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,4.847711655616943
CHEMBL2181546,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,961.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCC1(c2cc(O)c3cc(Cc4ccccc4O)c(=O)oc3c2)CCCCC1,6.017276612331455
CHEMBL2181544,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,854.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCC1(c2cc(O)c3cc(Cc4ccccc4O)c(=O)oc3c2)CCCC1,6.068542129310995
CHEMBL2181542,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,113.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCCCC(C)(C)c1cc(O)c2cc(Cc3ccccc3O)c(=O)oc2c1,6.94692155651658
CHEMBL2181540,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,261.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCCC(C)(C)c1cc(O)c2cc(Cc3ccccc3O)c(=O)oc2c1,6.583359492661719
CHEMBL2177264,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,358.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCCC(C)(C)c1cc(O)c2cc(Cc3ccccc3)c(=O)oc2c1,6.446116973356125
CHEMBL2177263,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,10000.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCCC(C)(C)c1cc(OC)c2cc(Cc3ccccc3)c(=O)oc2c1,5.0
CHEMBL2387532,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,3760.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCc1cc(OC)c2cc(Cc3ccc(Br)cc3)c(=O)oc2c1,5.424812155072339
CHEMBL2387531,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,10000.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCc1cc(OC)c2cc(Cc3ccc(F)cc3)c(=O)oc2c1,5.0
CHEMBL2387530,CHEMBL1075322,G-protein coupled receptor 55,IC50,=,3290.0,nM,CHEMBL2388878,B,Antagonist activity at human GPR55 transfected in CHO cells assessed as inhibition of LPI-induced beta-arrestin recruitment incubated 60 mins prior to LPI addition by beta-arrestin translocation assay,CHEMBL2384924,Q9Y2T6,G-protein coupled receptor 55,IC50,CCCCCc1cc(OC)c2cc(Cc3ccc(Cl)cc3)c(=O)oc2c1,5.482804102050025
