molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL129542,CHEMBL264,Histamine H3 receptor,IC50,=,0.53,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,c1cc(OCCCN2CCCCC2)ccc1CN1CCCCC1,9.275724130399212
CHEMBL129306,CHEMBL264,Histamine H3 receptor,IC50,=,0.72,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,OC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,9.142667503568731
CHEMBL502,CHEMBL264,Histamine H3 receptor,IC50,=,350.0,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,6.455931955649724
CHEMBL1190,CHEMBL264,Histamine H3 receptor,IC50,=,820.0,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,6.086186147616283
CHEMBL259264,CHEMBL264,Histamine H3 receptor,IC50,=,0.98,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,OCCC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,9.008773924307505
CHEMBL259482,CHEMBL264,Histamine H3 receptor,IC50,=,1.3,nM,CHEMBL940222,B,Inhibition of histamine H3 receptor,CHEMBL1143968,Q9Y5N1,Histamine H3 receptor,IC50,OCC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,8.886056647693163
CHEMBL493091,CHEMBL264,Histamine H3 receptor,IC50,=,2350.0,nM,CHEMBL1032753,B,Displacement of [3H]SMT from human histamine H3 receptor,CHEMBL1158433,Q9Y5N1,Histamine H3 receptor,IC50,CN(C)CCCOc1ccc(CCNC(=O)c2cc(Br)c[nH]2)cc1Br,5.628932137728263
CHEMBL570774,CHEMBL264,Histamine H3 receptor,IC50,=,3720.0,nM,CHEMBL1032753,B,Displacement of [3H]SMT from human histamine H3 receptor,CHEMBL1158433,Q9Y5N1,Histamine H3 receptor,IC50,CN(C)CCOc1ccc(CCNC(=O)c2cc(Br)c[nH]2)cc1Br,5.429457060118103
CHEMBL561355,CHEMBL264,Histamine H3 receptor,IC50,=,430.0,nM,CHEMBL1032753,B,Displacement of [3H]SMT from human histamine H3 receptor,CHEMBL1158433,Q9Y5N1,Histamine H3 receptor,IC50,O=C(NCCc1ccc(OCCN2CCCC2)c(Br)c1)c1cc(Br)c[nH]1,6.366531544420413
CHEMBL549332,CHEMBL264,Histamine H3 receptor,IC50,=,29100.0,nM,CHEMBL1032753,B,Displacement of [3H]SMT from human histamine H3 receptor,CHEMBL1158433,Q9Y5N1,Histamine H3 receptor,IC50,O=C(NCCc1ccc(OCCN2CCOCC2)c(Br)c1)c1cc(Br)c[nH]1,4.536107011014093
CHEMBL554516,CHEMBL264,Histamine H3 receptor,IC50,=,2940.0,nM,CHEMBL1032753,B,Displacement of [3H]SMT from human histamine H3 receptor,CHEMBL1158433,Q9Y5N1,Histamine H3 receptor,IC50,CN1CCCC(COc2ccc(CCNC(=O)c3cc(Br)c[nH]3)cc2Br)C1,5.531652669587842
