molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL376756,CHEMBL5952,Neuropeptide FF receptor 2,IC50,=,76.0,nM,CHEMBL1681418,B,"Displacement of (D-[125I]Tyr1, MePhe3)-NPFF from NPFFR2 after 2 hrs",CHEMBL1671829,Q9Y5X5,Neuropeptide FF receptor 2,IC50,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,7.119186407719209
CHEMBL388586,CHEMBL5952,Neuropeptide FF receptor 2,IC50,=,1800.0,nM,CHEMBL1681418,B,"Displacement of (D-[125I]Tyr1, MePhe3)-NPFF from NPFFR2 after 2 hrs",CHEMBL1671829,Q9Y5X5,Neuropeptide FF receptor 2,IC50,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,5.7447274948966935
CHEMBL472833,CHEMBL5952,Neuropeptide FF receptor 2,IC50,=,2400.0,nM,CHEMBL1681418,B,"Displacement of (D-[125I]Tyr1, MePhe3)-NPFF from NPFFR2 after 2 hrs",CHEMBL1671829,Q9Y5X5,Neuropeptide FF receptor 2,IC50,CC(C)C[C@H](/C=C/CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,5.619788758288394
CHEMBL1672379,CHEMBL5952,Neuropeptide FF receptor 2,IC50,=,0.79,nM,CHEMBL1681418,B,"Displacement of (D-[125I]Tyr1, MePhe3)-NPFF from NPFFR2 after 2 hrs",CHEMBL1671829,Q9Y5X5,Neuropeptide FF receptor 2,IC50,CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,9.102372908709558
CHEMBL3360830,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,2.7,nM,CHEMBL3387183,B,Agonist activity at human NPFF2 receptor,CHEMBL3351542,Q9Y5X5,Neuropeptide FF receptor 2,EC50,CC(C)C[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](N)Cc1ccc(O)cc1,8.568636235841012
CHEMBL4797394,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,11.0,nM,CHEMBL4772254,B,Agonist activity at human NPFFR2 expressed in CHO cells by [35S]-GTP S binding assay,CHEMBL4765381,Q9Y5X5,Neuropeptide FF receptor 2,EC50,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O,7.958607314841775
CHEMBL4790994,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,157.0,nM,CHEMBL4772254,B,Agonist activity at human NPFFR2 expressed in CHO cells by [35S]-GTP S binding assay,CHEMBL4765381,Q9Y5X5,Neuropeptide FF receptor 2,EC50,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCN2CCC(Cc3ccccc3)CC2)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C1=O,6.804100347590767
CHEMBL3982697,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,794.33,nM,CHEMBL4772272,B,Agonist activity at NPFFR2 (unknown origin) expressed in mouse NIH3T3 cells by receptor selection and amplification technology assay,CHEMBL4765381,Q9Y5X5,Neuropeptide FF receptor 2,EC50,Cl.NC(N)=N/N=C/c1ccc(Cl)c(Cl)c1,6.0999990348465305
CHEMBL4785076,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,100.0,nM,CHEMBL4772272,B,Agonist activity at NPFFR2 (unknown origin) expressed in mouse NIH3T3 cells by receptor selection and amplification technology assay,CHEMBL4765381,Q9Y5X5,Neuropeptide FF receptor 2,EC50,Cl.N=C(N)N/N=C/c1ccc(-c2ccccc2C(F)(F)F)o1,7.0
CHEMBL4784123,CHEMBL5952,Neuropeptide FF receptor 2,EC50,=,794.33,nM,CHEMBL4772272,B,Agonist activity at NPFFR2 (unknown origin) expressed in mouse NIH3T3 cells by receptor selection and amplification technology assay,CHEMBL4765381,Q9Y5X5,Neuropeptide FF receptor 2,EC50,Cl.N=C(N)N/N=C/c1ccc(Br)c(Br)c1,6.0999990348465305
