molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL370257,CHEMBL5071,G protein-coupled receptor 44,IC50,=,158.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(F)cc1,6.801342913045577
CHEMBL196707,CHEMBL5071,G protein-coupled receptor 44,IC50,=,158.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,6.801342913045577
CHEMBL197398,CHEMBL5071,G protein-coupled receptor 44,IC50,=,987.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccccc1,6.005682847330363
CHEMBL193753,CHEMBL5071,G protein-coupled receptor 44,IC50,=,2184.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cc(F)ccc32)cc1,5.6607473659673
CHEMBL196617,CHEMBL5071,G protein-coupled receptor 44,IC50,=,639.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1cccc(F)c1,6.1944991418416
CHEMBL373294,CHEMBL5071,G protein-coupled receptor 44,IC50,=,44.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1cc(Cl)ccc1Cl,7.356547323513812
CHEMBL364299,CHEMBL5071,G protein-coupled receptor 44,IC50,=,318.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,COc1ccc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cc(F)ccc32)cc1,6.497572880015568
CHEMBL194918,CHEMBL5071,G protein-coupled receptor 44,IC50,=,842.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,CCCCS(=O)(=O)n1c(C)c(CC(=O)O)c2cc(F)ccc21,6.0746879085003505
CHEMBL199040,CHEMBL5071,G protein-coupled receptor 44,IC50,=,26.0,nM,CHEMBL880427,B,Concentration required to inhibit PGD-2 (10 nM) stimulated [Ca2+] flux in CHO cells expressing human CRTH2 receptor,CHEMBL1141097,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(Cl)cc1,7.585026652029182
CHEMBL379639,CHEMBL5071,G protein-coupled receptor 44,IC50,=,5200.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1c(CC(=O)O)c2ccccc2n1-c1ccncn1,5.2839966563652006
CHEMBL379828,CHEMBL5071,G protein-coupled receptor 44,IC50,=,50.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,COc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,7.301029995663981
CHEMBL378094,CHEMBL5071,G protein-coupled receptor 44,IC50,=,125.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(-c3ccnc4cc(Cl)ccc34)c(C)n(CC(=O)O)c2c1,6.903089986991944
CHEMBL212777,CHEMBL5071,G protein-coupled receptor 44,IC50,=,8.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,8.096910013008056
CHEMBL378666,CHEMBL5071,G protein-coupled receptor 44,IC50,=,21.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3ccccc13)c(C)n2CC(=O)O,7.6777807052660805
CHEMBL211677,CHEMBL5071,G protein-coupled receptor 44,IC50,=,18.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1cc(C)nc3ccccc13)c(C)n2CC(=O)O,7.7447274948966935
CHEMBL384962,CHEMBL5071,G protein-coupled receptor 44,IC50,=,68.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,7.167491087293763
CHEMBL214304,CHEMBL5071,G protein-coupled receptor 44,IC50,=,5.4,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O,8.267606240177031
CHEMBL214350,CHEMBL5071,G protein-coupled receptor 44,IC50,=,6.0,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,8.221848749616356
CHEMBL209689,CHEMBL5071,G protein-coupled receptor 44,IC50,=,2.6,nM,CHEMBL868656,B,Displacement of [3H]PGD2 from human CRTh2 expressed in HEK293 cells,CHEMBL1138972,Q9Y5Y4,G protein-coupled receptor 44,IC50,Cc1ccc2c(c1)c(-c1ccnc3c(C)cccc13)c(C)n2CC(=O)O,8.585026652029182
