molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL3892073,CHEMBL4573,Metabotropic glutamate receptor 6,IC50,=,9220.0,nM,CHEMBL4620129,B,Antagonist activity at mGluR6 (unknown origin) by FLIPR assay,CHEMBL4619715,O15303,Metabotropic glutamate receptor 6,IC50,NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3C(=O)CCC3=O)cc2n1,5.035269078946371
CHEMBL3955188,CHEMBL4573,Metabotropic glutamate receptor 6,IC50,=,9830.0,nM,CHEMBL5328175,B,Binding affinity to mGluR6 (unknown origin) by FLIPR assay,CHEMBL5325482,O15303,Metabotropic glutamate receptor 6,IC50,COc1ccc(-c2cc(C(N)=O)nc3cc(CCc4cnc(C)nc4)ccc23)c(F)c1,5.007446482167865
CHEMBL575060,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,4900.0,nM,CHEMBL712388,B,Compound was tested for the inhibition of Metabotropic glutamate receptor 6,CHEMBL1131214,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@H](CCC(=O)O)C(=O)O,5.309803919971486
CHEMBL46527,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,800000.0,nM,CHEMBL712390,B,Compound was tested for the inhibition of Metabotropic glutamate receptor 6,CHEMBL1131214,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@H]2C[C@@H]1[C@@H]2C(=O)O,3.0969100130080562
CHEMBL285843,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,280.0,nM,CHEMBL712388,B,Compound was tested for the inhibition of Metabotropic glutamate receptor 6,CHEMBL1131214,O15303,Metabotropic glutamate receptor 6,EC50,NC(CCP(=O)(O)O)C(=O)O,6.552841968657781
CHEMBL296054,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,5300.0,nM,CHEMBL712390,B,Compound was tested for the inhibition of Metabotropic glutamate receptor 6,CHEMBL1131214,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@@H]2C[C@H]1[C@H]2C(=O)O,5.275724130399211
CHEMBL34453,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,82000.0,nM,CHEMBL712388,B,Compound was tested for the inhibition of Metabotropic glutamate receptor 6,CHEMBL1131214,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)CC[C@@H](C(=O)O)C1,4.086186147616283
CHEMBL2381646,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,11800.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,4.928117992693875
CHEMBL2381647,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,9370.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,5.028260409112222
CHEMBL365368,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,9280.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,C[C@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,5.032452023781138
CHEMBL192051,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,7540.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,C[C@@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,5.122628654130226
CHEMBL2381648,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,6690.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,CC(=O)N[C@@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,5.174573882232177
CHEMBL2381642,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,4370.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@@H](O)[C@H]2[C@H](C(=O)O)[C@H]21,5.359518563029578
CHEMBL8759,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,3360.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,5.4736607226101555
CHEMBL2381651,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,3250.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@H](Sc2ccccc2)[C@H]2[C@H](C(=O)O)[C@H]21,5.488116639021126
CHEMBL2381652,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,1410.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@@H](F)[C@H]2[C@H](C(=O)O)[C@H]21,5.85078088734462
CHEMBL2381650,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,1270.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@]1(C(=O)O)C[C@@H](Sc2ccccc2)[C@H]2[C@H](C(=O)O)[C@H]21,5.896196279044043
CHEMBL2381644,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,780.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,[N-]=[N+]=N[C@@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,6.107905397309519
CHEMBL2381649,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,709.0,nM,CHEMBL2382646,B,Agonist activity at human mGlu6 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 after 20 mins by FLIPR assay,CHEMBL2380209,O15303,Metabotropic glutamate receptor 6,EC50,CC(=O)N[C@H]1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@@H]21,6.149353764816933
CHEMBL33567,CHEMBL4573,Metabotropic glutamate receptor 6,EC50,=,55.0,nM,CHEMBL4371731,B,Activation of human metabotropic glutamate 6 receptor expressed in golden hamster AV12-664 cells,CHEMBL4371013,O15303,Metabotropic glutamate receptor 6,EC50,N[C@@H](CCP(=O)(O)O)C(=O)O,7.259637310505756
