molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL66654,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,20.0,nM,CHEMBL711710,B,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",CHEMBL1135040,P41594,Metabotropic glutamate receptor 5,IC50,Cc1cccc(C#Cc2ccccc2)n1,7.698970004336019
CHEMBL88612,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,1100.0,nM,CHEMBL711710,B,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",CHEMBL1135040,P41594,Metabotropic glutamate receptor 5,IC50,Cc1cccc(/C=C/c2ccccc2)n1,5.958607314841775
CHEMBL2112677,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,3.6,nM,CHEMBL711710,B,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",CHEMBL1135040,P41594,Metabotropic glutamate receptor 5,IC50,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,8.443697499232712
CHEMBL1169453,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,47.0,nM,CHEMBL715724,B,Binding affinity towards human mGlu5 receptors expressed in LtK-cells,CHEMBL1136508,P41594,Metabotropic glutamate receptor 5,IC50,[3H]C([3H])([3H])OCc1cncc(C#Cc2csc(C)n2)c1,7.327902142064282
CHEMBL66654,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,11.0,nM,CHEMBL715724,B,Binding affinity towards human mGlu5 receptors expressed in LtK-cells,CHEMBL1136508,P41594,Metabotropic glutamate receptor 5,IC50,Cc1cccc(C#Cc2ccccc2)n1,7.958607314841775
CHEMBL178854,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,105.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,Cc1ccc(O)c(C(=O)Nc2cccc(C)n2)c1,6.978810700930062
CHEMBL178328,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,134.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,CN(C)c1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,6.872895201635192
CHEMBL367145,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,158.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,CN(C)c1ncc(C(=O)Nc2ccccn2)nc1Cl,6.801342913045577
CHEMBL178530,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,5084.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,CN(C)c1cnc(C(=O)Nc2ccccn2)c(N)n1,5.293794458118029
CHEMBL359893,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,103.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,Nc1nc(N2CCCCC2)c(Cl)nc1C(=O)Nc1ccccn1,6.987162775294828
CHEMBL181169,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,23.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,CC(C)Nc1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,7.638272163982407
CHEMBL181610,CHEMBL3227,Metabotropic glutamate receptor 5,IC50,=,3800.0,nM,CHEMBL828680,B,Inhibitory concentration against human recombinant metabotropic glutamate receptor 5 (mGlu5) in Ltk cells determined using fluorescence detection method,CHEMBL1144333,P41594,Metabotropic glutamate receptor 5,IC50,Nc1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,5.42021640338319
