molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,smiles,pActivity
CHEMBL2204446,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,5490.0,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@H](CO)C3)cc2)cc1,5.260427655549908
CHEMBL2204445,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,1500.0,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](CO)C3)cc2)cc1,5.823908740944319
CHEMBL2204442,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,2100.0,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCCC(CO)C3)cc2)cc1,5.6777807052660805
CHEMBL2204440,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,5700.0,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@H](C(=O)O)C3)cc2)cc1,5.2441251443275085
CHEMBL2204439,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,2500.0,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCCC(O)C3)cc2)cc1,5.6020599913279625
CHEMBL2204445,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,1479.11,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](CO)C3)cc2)cc1,5.829999526735649
CHEMBL2204446,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,3235.94,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@H](CO)C3)cc2)cc1,5.489999539566098
CHEMBL2204442,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,2041.74,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCCC(CO)C3)cc2)cc1,5.689999562814496
CHEMBL2204440,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,5754.4,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@H](C(=O)O)C3)cc2)cc1,5.2399999527072705
CHEMBL2204439,CHEMBL2888,Metabotropic glutamate receptor 3,IC50,=,2454.71,nM,CHEMBL2213655,B,Negative allosteric modulation of mGlu3 assessed as thallium flux through GIRK channels by cell-based assay,CHEMBL2203026,Q14832,Metabotropic glutamate receptor 3,IC50,COc1ccc(C#Cc2ccc(C(=O)N3CCCC(O)C3)cc2)cc1,5.6099998081597775
