#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	30673.476357553154	138455.17948255315	257.61189307259855	0.9750113796718786	0	--
0.4%	2000	49308.118935678154	171932.42362317815	293.0875867736293	0.9750113796718786	22.6	1:03:35
0.6%	3000	49183.882607553154	174837.00760755315	300.3268501351941	0.9750113796718786	22.3	1:04:18
0.8%	4000	45741.927529428154	171793.72440442815	301.27972630485755	0.9750113796718786	22.2	1:04:20
1.0%	5000	45615.573037240654	170228.22928724065	297.8399983171307	0.9750113796718786	22.1	1:04:31
1.2%	6000	42441.543740365654	168111.00467786565	300.36589509052953	0.9750113796718786	22	1:04:40
1.4%	7000	40386.581826303154	165258.73807630315	298.4602361155148	0.9750113796718786	21.9	1:04:51
1.6%	8000	40962.113076303154	166012.44120130315	298.88608941603104	0.9750113796718786	21.8	1:04:59
1.8%	9000	38780.380654428154	164859.00565442815	301.34384891443284	0.9750113796718786	21.7	1:05:06
2.0%	10000	38293.949013803154	162619.68338880315	297.1542187716269	0.9750113796718786	21.7	1:05:10
2.2%	11000	36092.014443490654	161138.85819349065	298.87776131938847	0.9750113796718786	21.6	1:05:17
2.4%	12000	36293.697060678154	162268.30643567815	301.0952384240762	0.9750113796718786	21.5	1:05:21
2.6%	13000	35277.596474740654	160626.20584974065	299.5990193035041	0.9750113796718786	21.4	1:05:26
2.8%	14000	35079.189248178154	159429.07987317815	297.211955262252	0.9750113796718786	21.4	1:05:28
3.0%	15000	33451.450966928154	157824.37284192815	297.26700286068757	0.9750113796718786	21.3	1:05:34
3.2%	16000	30971.092568490654	156074.85819349065	299.0138117950336	0.9750113796718786	21.2	1:05:41
3.4%	17000	29064.351357553154	154175.15604505315	299.03063604408055	0.9750113796718786	21.1	1:05:48
3.6%	18000	28393.045693490654	153899.88944349065	299.977219459106	0.9750113796718786	21.1	1:05:55
3.8%	19000	26576.538857553154	152170.09354505315	300.1844695591862	0.9750113796718786	21	1:06:02
