#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	442612.86319434457	550431.2538193446	253.50311821058824	0.9626389289889488	0	--
0.4%	2000	462457.07608496957	586849.1854599696	292.47132538855817	0.9626389289889488	23.6	1:00:39
0.6%	3000	461425.31729590707	589296.6141709071	300.65160775946566	0.9626389289889488	23.2	1:01:37
0.8%	4000	459268.44913184457	586856.0585068446	299.98460034606904	0.9626389289889488	23.1	1:01:50
1.0%	5000	455141.58780371957	582856.3690537196	300.28360746975466	0.9626389289889488	23	1:02:05
1.2%	6000	452085.71475684457	579654.1053818446	299.93941312870413	0.9626389289889488	22.8	1:02:22
1.4%	7000	450710.54092871957	578314.1971787196	300.0223298356901	0.9626389289889488	22.8	1:02:23
1.6%	8000	451113.81436621957	577882.3846787196	298.05887176603323	0.9626389289889488	22.7	1:02:29
1.8%	9000	452180.22647559457	579642.3046005946	299.6894506677683	0.9626389289889488	22.6	1:02:39
2.0%	10000	449133.97647559457	576431.3202255946	299.30212641355814	0.9626389289889488	22.5	1:02:46
2.2%	11000	449130.17569434457	576972.0506943446	300.5824309055647	0.9626389289889488	22.4	1:02:56
2.4%	12000	453173.85928809457	580133.3905380946	298.5078600400378	0.9626389289889488	22.3	1:03:01
2.6%	13000	454003.47452246957	581414.3182724696	299.5689881590369	0.9626389289889488	22.2	1:03:06
2.8%	14000	458328.82022559457	586261.5233505946	300.79598642958297	0.9626389289889488	22.1	1:03:17
3.0%	15000	461950.07413184457	589404.9803818446	299.67258812080047	0.9626389289889488	22	1:03:26
3.2%	16000	463574.63467871957	592047.8534287196	302.0668493647905	0.9626389289889488	21.9	1:03:32
3.4%	17000	468679.47061621957	595902.6112412196	299.1276596694393	0.9626389289889488	21.9	1:03:39
3.6%	18000	469299.50088965707	596814.4696396571	299.8138073594596	0.9626389289889488	21.8	1:03:49
3.8%	19000	472606.09170996957	600380.6620224696	300.4241838008497	0.9626389289889488	21.6	1:04:00
4.0%	20000	475590.39151465707	602497.9540146571	298.385670865277	0.9626389289889488	21.5	1:04:09
4.2%	21000	482068.85733496957	609972.2167099696	300.7269932635574	0.9626389289889488	21.5	1:04:14
4.4%	22000	484275.78506934457	611411.1600693446	298.92130471013945	0.9626389289889488	21.4	1:04:21
4.6%	23000	488808.04971778207	616417.7215927821	300.036473802101	0.9626389289889488	21.3	1:04:28
4.8%	24000	492583.20108496957	620416.4042099696	300.56204155138784	0.9626389289889488	21.2	1:04:34
