#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	256.6553666257216	0	--
0.4%	2000	293.11749999371966	68.7	20:52
0.6%	3000	298.8849554280074	67.7	21:08
0.8%	4000	299.60331550024193	66.5	21:27
1.0%	5000	299.32537894846337	65.9	21:38
1.2%	6000	298.6397210585818	65.3	21:47
1.4%	7000	298.66064789543003	64.9	21:52
1.6%	8000	299.4444763288133	64.6	21:55
1.8%	9000	299.58488452466923	64.1	22:04
2.0%	10000	300.07176946271466	63.6	22:12
2.2%	11000	301.0329000413208	63.3	22:15
2.4%	12000	297.7021731692068	62.9	22:21
2.6%	13000	298.76828991249	62.4	22:28
2.8%	14000	302.01873324690973	62	22:33
3.0%	15000	302.57460635046687	61.8	22:37
3.2%	16000	300.43462929430217	61.2	22:47
3.4%	17000	303.5680871309896	60.8	22:53
3.6%	18000	301.16354877962516	60.5	22:56
3.8%	19000	301.22226551604166	60.2	23:01
4.0%	20000	298.8525732278693	59.8	23:06
4.2%	21000	299.7197890264305	59.5	23:11
4.4%	22000	299.6932944990447	59.2	23:16
4.6%	23000	298.41691744241393	58.8	23:21
4.8%	24000	300.08040898251437	58.5	23:25
5.0%	25000	300.77477038863856	58.2	23:30
5.2%	26000	301.76658726164436	57.8	23:36
5.4%	27000	299.9202578840051	57.5	23:40
5.6%	28000	298.71645279369176	57.2	23:45
5.8%	29000	302.0089097929153	56.9	23:50
6.0%	30000	300.6837034503054	56.6	23:54
6.2%	31000	302.4573008705198	56.3	23:59
6.4%	32000	299.4880579064696	56	24:05
6.6%	33000	300.61823508915654	55.7	24:09
6.8%	34000	300.4425008567863	55.3	24:15
7.0%	35000	300.0879285645622	55	24:20
7.2%	36000	299.9953577098195	54.7	24:26
7.4%	37000	298.88508342089335	54.4	24:31
7.6%	38000	297.98497345065033	54.1	24:36
7.8%	39000	301.74182063821854	53.8	24:40
8.0%	40000	300.32199555469117	53.5	24:46
8.2%	41000	299.9066266416544	53.2	24:50
8.4%	42000	300.0676736903652	52.9	24:55
8.6%	43000	300.8494222393523	52.6	24:59
8.8%	44000	302.63098721671525	52.3	25:06
9.0%	45000	299.78605734311634	52	25:11
9.2%	46000	301.1399980886156	51.8	25:14
9.4%	47000	300.4482605366528	51.5	25:18
9.6%	48000	300.46576356380257	51.3	25:21
9.8%	49000	299.7357881371707	51.1	25:25
10.0%	50000	299.12564604998283	50.9	25:29
10.2%	51000	300.3563936427826	50.6	25:32
10.4%	52000	300.19406666521263	50.4	25:36
10.6%	53000	297.4248125854148	50.2	25:37
10.8%	54000	299.2944046700703	50.1	25:38
11.0%	55000	302.1404224831996	50	25:38
11.2%	56000	299.1488127623346	49.8	25:39
11.4%	57000	299.4063344488087	49.7	25:40
11.6%	58000	298.4799859369518	49.5	25:41
11.8%	59000	299.0640814718546	49.4	25:42
12.0%	60000	299.0114123992979	49.3	25:43
12.2%	61000	300.0977520185567	49.1	25:44
12.4%	62000	298.86745240085764	49	25:45
12.6%	63000	298.80124808061476	48.8	25:46
12.8%	64000	298.5373267498446	48.7	25:48
13.0%	65000	298.383479300967	48.5	25:48
13.2%	66000	301.0064375121565	48.4	25:49
13.4%	67000	299.24691930939343	48.2	25:50
13.6%	68000	300.6222668650631	48.1	25:51
13.8%	69000	299.98079851904595	48	25:52
14.0%	70000	299.91318627705795	47.8	25:53
14.2%	71000	298.89644278951886	47.7	25:54
14.4%	72000	297.40996541064794	47.6	25:54
14.6%	73000	300.0239321216015	47.4	25:55
14.8%	74000	299.64523317038123	47.3	25:55
15.0%	75000	299.3772160672616	47.2	25:55
15.2%	76000	299.7541551163004	47.1	25:55
15.4%	77000	299.2556868220791	47	25:54
15.6%	78000	300.0102048845864	46.9	25:55
15.8%	79000	297.6949415711522	46.8	25:54
16.0%	80000	298.7043254677507	46.7	25:54
16.2%	81000	298.3033237561586	46.6	25:54
16.4%	82000	298.4397961707724	46.5	25:53
16.6%	83000	297.74901856545404	46.4	25:52
16.8%	84000	299.3759361384024	46.3	25:52
17.0%	85000	300.59935613848313	46.2	25:51
17.2%	86000	298.5521739246115	46.1	25:50
17.4%	87000	300.6760238771501	46	25:50
17.6%	88000	298.6249378802579	45.9	25:51
17.8%	89000	298.91717763703815	45.7	25:52
18.0%	90000	299.46284330794305	45.6	25:53
18.2%	91000	297.9543831509151	45.4	25:55
18.4%	92000	300.3535458010709	45.3	25:56
18.6%	93000	299.2114652799932	45.1	25:58
18.8%	94000	299.4751946214345	45	26:00
19.0%	95000	298.8549410962588	44.8	26:00
19.2%	96000	302.9846315605164	44.7	26:01
19.4%	97000	298.6730632053644	44.6	26:02
19.6%	98000	299.1399172567631	44.5	26:02
19.8%	99000	299.22688842274675	44.4	26:01
20.0%	100000	300.4281656535631	44.3	25:59
20.2%	101000	301.547015465846	44.3	25:57
20.4%	102000	300.17953947266057	44.2	25:55
20.6%	103000	297.8677319671462	44.1	25:54
20.8%	104000	299.5654936024521	44.1	25:52
