#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	2064304.2576304302	2356117.35138043	268.48718854676775	0.9718576464778367	0	--
0.4%	2000	2066454.1482554302	2394000.96075543	301.36455385007986	0.9718576464778367	32.3	44:22
0.6%	3000	2048846.6013804302	2377416.25763043	302.30563719637894	0.9718576464778367	31.1	46:04
0.8%	4000	2040462.1521616802	2367087.21466168	300.51648338530833	0.9718576464778367	30.9	46:16
1.0%	5000	2035328.6326304302	2361401.69513043	300.0086071753231	0.9718576464778367	30.7	46:24
1.2%	6000	2026774.7107554302	2351943.21075543	299.1763503380138	0.9718576464778367	30.5	46:37
1.4%	7000	2019685.1091929302	2344538.35919293	298.8862996583075	0.9718576464778367	30.1	47:11
1.6%	8000	2013647.5232554302	2338338.02325543	298.73655898226565	0.9718576464778367	29.8	47:33
1.8%	9000	2010468.3005991802	2335319.67559918	298.88457453531163	0.9718576464778367	29.6	47:50
2.0%	10000	2003282.4216929302	2327625.67169293	298.41706620342984	0.9718576464778367	29.4	47:59
2.2%	11000	1993341.8084116802	2316820.43341168	297.62155448593256	0.9718576464778367	29.2	48:11
2.4%	12000	1991468.9607554302	2315797.96075543	298.4039552686612	0.9718576464778367	29	48:22
2.6%	13000	1982558.8748179302	2309518.74981793	300.82453284827153	0.9718576464778367	28.9	48:35
2.8%	14000	1977798.5584116802	2305481.43341168	301.4897402754804	0.9718576464778367	28.7	48:47
3.0%	15000	1968003.5779429302	2293691.51544293	299.65426691197064	0.9718576464778367	28.5	49:02
3.2%	16000	1959898.1482554302	2285222.46075543	299.31970805897083	0.9718576464778367	28.3	49:19
3.4%	17000	1949789.7302866802	2276614.79278668	300.70049650486817	0.9718576464778367	28	49:40
3.6%	18000	1941412.1560679302	2269429.78106793	301.79773223434375	0.9718576464778367	27.8	49:58
3.8%	19000	1928388.6990366802	2255523.32403668	300.98531431148695	0.9718576464778367	27.5	50:18
4.0%	20000	1912712.8474741802	2241406.00372418	302.4192652977071	0.9718576464778367	27.3	50:39
4.2%	21000	1902898.9685679302	2231113.65606793	301.97904266121014	0.9718576464778367	27	51:03
4.4%	22000	1883385.7888804302	2211624.47638043	302.0011242355573	0.9718576464778367	26.8	51:26
4.6%	23000	1870662.8162241802	2198131.06622418	301.29227119655275	0.9718576464778367	26.5	51:48
4.8%	24000	1852778.6795054302	2181289.49200543	302.2514970863585	0.9718576464778367	26.3	52:12
5.0%	25000	1831018.5076304302	2159784.69513043	302.4864588383964	0.9718576464778367	26	52:37
5.2%	26000	1818123.3474741802	2146284.15997418	301.9294741271287	0.9718576464778367	25.7	53:01
5.4%	27000	1798914.2654429302	2128321.07794293	303.0758758619866	0.9718576464778367	25.5	53:31
5.6%	28000	1775385.6130991802	2105032.70684918	303.29695037390786	0.9718576464778367	25.2	53:55
5.8%	29000	1756141.7068491802	2085119.4880991802	302.6811389684808	0.9718576464778367	25	54:21
6.0%	30000	1734910.7459116802	2065966.1209116802	304.59266150405875	0.9718576464778367	24.7	54:46
6.2%	31000	1711122.1091929302	2041104.0466929302	303.60502858892096	0.9718576464778367	24.5	55:12
6.4%	32000	1693009.5388804302	2022216.5076304302	302.89200650267645	0.9718576464778367	24.2	55:36
6.6%	33000	1668798.8318491802	1999550.9880991802	304.313680363576	0.9718576464778367	24	55:59
6.8%	34000	1648146.1834116802	1977878.6834116802	303.3755297263699	0.9718576464778367	23.8	56:24
7.0%	35000	1630620.8670054302	1960650.8045054302	303.64919173761535	0.9718576464778367	23.6	56:47
7.2%	36000	1611003.4138804302	1939498.2888804302	302.23683354089354	0.9718576464778367	23.4	57:11
7.4%	37000	1589817.6873179302	1918144.3123179302	302.0820325040638	0.9718576464778367	23.2	57:35
7.6%	38000	1571466.3357554302	1900451.5232554302	302.6879532043145	0.9718576464778367	22.9	58:02
7.8%	39000	1560392.4255991802	1888681.9880991802	302.04793257284535	0.9718576464778367	22.7	58:31
8.0%	40000	1548917.0466929302	1878499.4216929302	303.2374048785003	0.9718576464778367	22.5	58:55
8.2%	41000	1537959.4177866802	1866882.5427866802	302.63085163315105	0.9718576464778367	22.3	59:17
8.4%	42000	1529756.8005991802	1857792.9255991802	301.81475344790306	0.9718576464778367	22.1	59:39
8.6%	43000	1517379.9295054302	1844227.0545054302	300.72079545211966	0.9718576464778367	21.9	1:00:00
8.8%	44000	1509209.0193491802	1839135.5193491802	303.55402245234296	0.9718576464778367	21.8	1:00:20
9.0%	45000	1502590.6404429302	1831174.5154429302	302.3187193790977	0.9718576464778367	21.6	1:00:39
9.2%	46000	1492838.6599741802	1822537.4099741802	303.3444775124442	0.9718576464778367	21.4	1:01:00
9.4%	47000	1490875.9529429302	1817286.3904429302	300.31901430638067	0.9718576464778367	21.3	1:01:19
9.6%	48000	1480120.5545054302	1807778.3670054302	301.4666811314356	0.9718576464778367	21.1	1:01:38
9.8%	49000	1475036.9021616802	1804120.2459116802	302.7782633931485	0.9718576464778367	21	1:01:57
10.0%	50000	1473028.0232554302	1801898.4607554302	302.582375676967	0.9718576464778367	20.8	1:02:14
10.2%	51000	1468605.9177866802	1795444.7615366802	300.71317615888785	0.9718576464778367	20.7	1:02:30
10.4%	52000	1463869.2420054302	1792285.9295054302	302.1648959119656	0.9718576464778367	20.5	1:02:47
