#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	-49987.08730338933	6557.4126966106705	255.50843197690992	0.9588974058921507	0	--
0.4%	2000	-38844.83095573308	24997.86435676692	288.48689036911617	0.9588974058921507	52.2	27:27
0.6%	3000	-38030.36171745183	27890.40390754817	297.8770960846967	0.9588974058921507	52.2	27:25
0.8%	4000	-40508.63222526433	26445.27402473567	302.54556324074895	0.9588974058921507	51.8	27:33
1.0%	5000	-40689.66933463933	25869.11191536067	300.76010631417114	0.9588974058921507	51.5	27:42
1.2%	6000	-42684.89199088933	23869.24863411067	300.7391366563416	0.9588974058921507	51.3	27:43
1.4%	7000	-43677.42470573308	22491.23154426692	298.9972429583188	0.9588974058921507	51.6	27:31
1.6%	8000	-44050.21132682683	22526.55429817317	300.84137256387424	0.9588974058921507	51.4	27:34
1.8%	9000	-44389.62636588933	21477.63925911067	297.63534487793453	0.9588974058921507	51.5	27:27
2.0%	10000	-44041.16738151433	22693.01230598567	301.5526817147287	0.9588974058921507	51.3	27:30
2.2%	11000	-43477.03652213933	22074.51035286067	296.2087020964401	0.9588974058921507	51.2	27:30
2.4%	12000	-44435.48574088933	22066.28769661067	300.5025043054469	0.9588974058921507	51	27:32
2.6%	13000	-44453.70839713933	21864.60410286067	299.6734967720946	0.9588974058921507	50.9	27:33
2.8%	14000	-44581.28749870183	21190.02500129817	297.20176013473167	0.9588974058921507	50.9	27:28
3.0%	15000	-43690.03749870183	22093.93125129817	297.2589501106304	0.9588974058921507	50.8	27:28
3.2%	16000	-45047.06337760808	21262.09287239192	299.63212229570365	0.9588974058921507	50.7	27:30
3.4%	17000	-45288.70107292058	21038.61142707942	299.71416519940044	0.9588974058921507	50.5	27:33
3.6%	18000	-45283.30556510808	20716.68662239192	298.2350982733321	0.9588974058921507	50.3	27:36
3.8%	19000	-45566.48671745183	20451.48203254817	298.31632922058094	0.9588974058921507	50	27:42
4.0%	20000	-46694.11415885808	20277.63584114192	302.6261940462753	0.9588974058921507	49.9	27:41
4.2%	21000	-46519.32656120183	19962.14218879817	300.41075322682906	0.9588974058921507	49.8	27:41
4.4%	22000	-45905.61562370183	21254.04062629817	303.4752886761007	0.9588974058921507	49.7	27:42
4.6%	23000	-46859.47060417058	19272.12314582942	298.82976811531654	0.9588974058921507	49.6	27:42
4.8%	24000	-47274.40956901433	18964.09043098567	299.3128468993898	0.9588974058921507	49.5	27:43
5.0%	25000	-47160.76259635808	18856.58896614192	298.31354032669446	0.9588974058921507	49.3	27:45
5.2%	26000	-48353.41640495183	18797.25547004817	303.43469085370344	0.9588974058921507	49.2	27:43
5.4%	27000	-46986.10536979558	19266.25400520442	299.3754734532444	0.9588974058921507	49.2	27:42
5.6%	28000	-48340.38661979558	17473.53525520442	297.3942997202575	0.9588974058921507	49	27:42
5.8%	29000	-48813.31191276433	17039.50058723567	297.57003533755625	0.9588974058921507	48.9	27:43
6.0%	30000	-49767.48085807683	16211.20664192317	298.1388284805692	0.9588974058921507	48.8	27:44
6.2%	31000	-50457.69960807683	15432.44882942317	297.73874576645767	0.9588974058921507	48.7	27:44
6.4%	32000	-49140.23525260808	17155.03818489192	299.5693898344863	0.9588974058921507	48.6	27:42
6.6%	33000	-49739.13710807683	16611.65195442317	299.8202490744472	0.9588974058921507	48.5	27:43
6.8%	34000	-50962.83095573308	15068.80185676692	298.378073213079	0.9588974058921507	48.4	27:42
7.0%	35000	-51383.44863151433	15767.67636848567	303.43673839605043	0.9588974058921507	48.3	27:43
