#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	270.4681651423409	0	--
0.4%	2000	299.8917199036659	25.8	55:30
0.6%	3000	301.849088994042	25.5	56:08
0.8%	4000	299.4780775346756	25.3	56:26
1.0%	5000	299.3113385885377	25.1	56:44
1.2%	6000	300.10514892015084	25	56:48
1.4%	7000	298.81336392864364	24.8	57:11
1.6%	8000	299.95394695222456	24.7	57:17
1.8%	9000	300.2651877093011	24.6	57:32
2.0%	10000	297.93276809904074	24.4	57:47
2.2%	11000	299.7559757782386	24.2	58:11
2.4%	12000	300.5965025587697	24.1	58:18
2.6%	13000	299.70005320810543	24	58:26
2.8%	14000	300.18138298981364	23.9	58:39
3.0%	15000	300.77141886186104	23.7	59:02
3.2%	16000	300.58513339474734	23.5	59:21
3.4%	17000	300.8154183179847	23.3	59:39
3.6%	18000	301.69398299763475	23.1	59:59
3.8%	19000	300.3508389287457	23	1:00:18
4.0%	20000	301.31988210629993	22.7	1:00:46
4.2%	21000	301.9474283060499	22.5	1:01:14
4.4%	22000	302.426172987818	22.3	1:01:40
4.6%	23000	302.89877146258556	22.1	1:02:05
4.8%	24000	302.6125903477858	21.9	1:02:34
5.0%	25000	302.6375444757792	21.7	1:03:05
5.2%	26000	303.9853839302737	21.5	1:03:35
5.4%	27000	303.59846305352164	21.2	1:04:06
5.6%	28000	302.5912764625652	21	1:04:37
5.8%	29000	304.6688263215861	20.8	1:05:14
6.0%	30000	305.0723129408117	20.6	1:05:51
6.2%	31000	304.07528209962	20.4	1:06:19
6.4%	32000	302.49626085048027	20.2	1:06:48
6.6%	33000	301.89361602158203	20	1:07:17
6.8%	34000	303.3463366736472	19.8	1:07:47
7.0%	35000	302.653186968274	19.6	1:08:23
7.2%	36000	301.30489907807555	19.4	1:08:54
7.4%	37000	304.1343173411097	19.2	1:09:22
7.6%	38000	303.6212277601372	19	1:09:53
7.8%	39000	302.4468537873389	18.9	1:10:22
8.0%	40000	303.0575968374781	18.7	1:10:53
8.2%	41000	302.3407855540815	18.5	1:11:20
8.4%	42000	302.3069682262934	18.4	1:11:46
8.6%	43000	302.34711641107776	18.2	1:12:13
8.8%	44000	301.5104936590277	18.1	1:12:37
9.0%	45000	302.0620168176814	17.9	1:13:02
9.2%	46000	301.9778164196317	17.8	1:13:24
9.4%	47000	302.3223205545092	17.7	1:13:45
9.6%	48000	301.523893973003	17.6	1:14:07
9.8%	49000	303.21447019813024	17.4	1:14:28
10.0%	50000	300.97358422860685	17.3	1:14:48
10.2%	51000	301.6686068125082	17.2	1:15:06
10.4%	52000	301.13153911066246	17.1	1:15:25
10.6%	53000	301.93054602072664	17	1:15:43
10.8%	54000	302.5379917495137	16.9	1:16:00
11.0%	55000	300.4145167986993	16.8	1:16:18
11.2%	56000	301.90137132140245	16.7	1:16:34
11.4%	57000	302.3278072972393	16.6	1:16:49
11.6%	58000	300.9606851074771	16.5	1:17:05
11.8%	59000	300.92657761541	16.4	1:17:19
12.0%	60000	300.61937277966854	16.3	1:17:33
12.2%	61000	301.6922947691024	16.3	1:17:48
12.4%	62000	299.7806924990947	16.2	1:18:01
