#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	24459.8978832243	131481.1166332243	259.5178083733429	0.9749224042961362	0	--
0.4%	2000	44409.5844066618	164905.4437816618	292.1927231655875	0.9749224042961362	23.9	1:00:05
0.6%	3000	43528.9183910368	166248.2387035368	297.5844362879326	0.9749224042961362	23.3	1:01:21
0.8%	4000	41127.0082347868	164600.2582347868	299.4126548641446	0.9749224042961362	22.9	1:02:16
1.0%	5000	39940.5922191618	162849.0765941618	298.043143855426	0.9749224042961362	22.8	1:02:35
1.2%	6000	38388.3070629118	161642.4945629118	298.8814460014462	0.9749224042961362	22.5	1:03:06
1.4%	7000	35984.4574535368	159702.0668285368	300.00520660478224	0.9749224042961362	22.4	1:03:21
1.6%	8000	34983.8978832243	157658.4681957243	297.47592115364097	0.9749224042961362	22.3	1:03:28
1.8%	9000	33545.2806957243	155950.4525707243	296.82265170954577	0.9749224042961362	22.2	1:03:37
2.0%	10000	32243.4750316618	155142.9281566618	298.0212438038825	0.9749224042961362	22.1	1:03:42
2.2%	11000	33488.4945629118	156691.4476879118	298.75720678170376	0.9749224042961362	22.1	1:03:47
2.4%	12000	31359.6596019743	154329.2299144743	298.19127231824484	0.9749224042961362	22	1:03:56
2.6%	13000	29754.2836254118	152918.8851879118	298.664207341369	0.9749224042961362	21.9	1:04:00
2.8%	14000	28250.2806957243	151044.9525707243	297.7671577387431	0.9749224042961362	21.8	1:04:04
3.0%	15000	26246.6381175993	149605.3724925993	299.13496372614765	0.9749224042961362	21.8	1:04:05
3.2%	16000	25698.9515941618	149432.2953441618	300.043361192852	0.9749224042961362	21.7	1:04:12
3.4%	17000	23499.9701488493	147056.5013988493	299.61460516644007	0.9749224042961362	21.6	1:04:21
3.6%	18000	21597.4252269743	144695.0658519743	298.5018324782382	0.9749224042961362	21.5	1:04:28
