#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	254.93508432686096	0	--
0.4%	2000	289.4021897863617	36	39:47
0.6%	3000	295.91763658641713	35.5	40:18
0.8%	4000	298.3758916844009	35.2	40:32
1.0%	5000	302.2597882874701	34.7	41:01
1.2%	6000	301.14416084100986	34.4	41:18
1.4%	7000	302.19169558533525	34.1	41:35
1.6%	8000	299.76431310399084	33.9	41:44
1.8%	9000	298.7667853751754	33.8	41:52
2.0%	10000	300.02139479189407	33.5	42:07
2.2%	11000	299.3418476550798	33.3	42:17
2.4%	12000	300.01333626621584	33.1	42:26
2.6%	13000	300.5485842777009	33	42:32
2.8%	14000	298.44459153573064	32.8	42:38
3.0%	15000	299.11806718059563	32.7	42:44
3.2%	16000	301.3703883107342	32.5	42:53
3.4%	17000	301.16634938431565	32.3	43:00
3.6%	18000	300.87716238292273	32.2	43:06
3.8%	19000	300.4819634524023	32	43:14
4.0%	20000	299.31123261688674	31.8	43:25
4.2%	21000	299.26170396134853	31.6	43:36
4.4%	22000	298.73852533992033	31.4	43:46
4.6%	23000	299.50255820713267	31.3	43:54
4.8%	24000	300.29389438965654	31.1	44:02
5.0%	25000	298.9383694173557	31	44:11
5.2%	26000	302.9096771060349	30.8	44:19
5.4%	27000	299.1781381539731	30.7	44:25
5.6%	28000	300.33262314890914	30.5	44:32
5.8%	29000	299.77400909264935	30.4	44:37
6.0%	30000	299.041768765099	30.3	44:43
6.2%	31000	298.72919732047086	30.1	44:49
6.4%	32000	301.7364440798978	30	44:54
6.6%	33000	299.32821439588446	29.9	44:59
6.8%	34000	299.88774837516684	29.8	45:05
7.0%	35000	298.473918681692	29.6	45:10
7.2%	36000	301.51649048518783	29.5	45:15
7.4%	37000	301.21087365861075	29.4	45:21
7.6%	38000	299.4115594217344	29.3	45:26
7.8%	39000	300.13686352969415	29.2	45:32
8.0%	40000	301.7857519539106	29	45:38
8.2%	41000	298.3209538814897	28.9	45:45
8.4%	42000	299.06193347775496	28.8	45:50
8.6%	43000	300.8331716639807	28.7	45:55
8.8%	44000	300.3997223341795	28.5	46:01
9.0%	45000	297.9361316826645	28.4	46:06
9.2%	46000	301.41826110483174	28.3	46:10
9.4%	47000	298.73429369401623	28.2	46:15
9.6%	48000	297.7321479516272	28.1	46:21
9.8%	49000	297.1726323708053	28	46:25
10.0%	50000	298.44448114496794	27.9	46:29
10.2%	51000	298.1270157098595	27.8	46:34
10.4%	52000	301.14226579958324	27.7	46:37
10.6%	53000	297.15887032238675	27.6	46:41
10.8%	54000	301.52394186167106	27.5	46:45
11.0%	55000	302.4169663351161	27.4	46:48
