#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	2066578.7569346838	2359178.694434684	269.327544242754	0.9720914934821634	0	--
0.4%	2000	2067415.6905284338	2392196.659278434	298.9490068849387	0.9720914934821634	32.1	44:43
0.6%	3000	2051868.8819346838	2379155.756934684	301.2556019655172	0.9720914934821634	31.5	45:30
0.8%	4000	2042622.7881846838	2369611.038184684	300.98072857153534	0.9720914934821634	31.2	45:43
1.0%	5000	2033653.2295909338	2361364.229590934	301.64599352088777	0.9720914934821634	30.5	46:47
1.2%	6000	2029323.8116221838	2354910.717872184	299.69084288648656	0.9720914934821634	30.3	46:57
1.4%	7000	2023632.6709971838	2349294.045997184	299.7593886480875	0.9720914934821634	29.9	47:28
1.6%	8000	2018362.9952159338	2345229.745215934	300.86889226389604	0.9720914934821634	29.7	47:44
1.8%	9000	2011987.3506846838	2339040.506934684	301.0404724015165	0.9720914934821634	29.5	47:59
2.0%	10000	2004411.2178721838	2329714.655372184	299.42992026647727	0.9720914934821634	29.1	48:25
2.2%	11000	2000508.1670909338	2327017.760840934	300.54014299434624	0.9720914934821634	28.9	48:40
2.4%	12000	1991022.7374034338	2316827.987403434	299.89182032513776	0.9720914934821634	28.7	49:03
2.6%	13000	1982687.3389659338	2309406.713965934	300.73323896481503	0.9720914934821634	28.5	49:15
2.8%	14000	1977957.8858409338	2305519.698340934	301.5086718818265	0.9720914934821634	28.3	49:28
3.0%	15000	1969426.1827159338	2295742.307715934	300.36206208369936	0.9720914934821634	28.1	49:41
3.2%	16000	1958798.2920909338	2285401.729590934	300.626522735046	0.9720914934821634	27.9	49:56
3.4%	17000	1949205.0733409338	2277042.010840934	301.76191438503037	0.9720914934821634	27.7	50:13
3.6%	18000	1933842.4170909338	2260646.323340934	300.8110468897544	0.9720914934821634	27.4	50:39
3.8%	19000	1917578.7842784338	2244899.721778434	301.2869552513523	0.9720914934821634	27.2	50:59
4.0%	20000	1900523.8858409338	2228952.198340934	302.3062534502995	0.9720914934821634	26.9	51:22
4.2%	21000	1885123.8233409338	2214217.948340934	302.9191095126872	0.9720914934821634	26.7	51:44
4.4%	22000	1866430.0186534338	2194826.643653434	302.27708626512816	0.9720914934821634	26.4	52:07
4.6%	23000	1847189.4170909338	2176450.479590934	303.0727693777616	0.9720914934821634	26.1	52:38
4.8%	24000	1826298.4756846838	2154787.663184684	302.36228666204886	0.9720914934821634	25.8	53:08
5.0%	25000	1807086.7842784338	2135174.159278434	301.99243294712437	0.9720914934821634	25.5	53:35
5.2%	26000	1787781.2256846838	2116576.350684684	302.64389094491634	0.9720914934821634	25.2	54:05
5.4%	27000	1768661.5616221838	2096141.3116221838	301.4331363509981	0.9720914934821634	25	54:35
5.6%	28000	1747824.3663096838	2077525.4288096838	303.4777732902003	0.9720914934821634	24.7	55:04
5.8%	29000	1729516.6592784338	2059268.5967784338	303.52460186757594	0.9720914934821634	24.4	55:30
6.0%	30000	1711670.9717784338	2040964.3780284338	303.1025406170637	0.9720914934821634	24.2	55:56
6.2%	31000	1697544.1397471838	2024499.5147471838	300.95046833603215	0.9720914934821634	24	56:21
6.4%	32000	1683586.5459971838	2012998.4209971838	303.2115867699085	0.9720914934821634	23.7	56:45
6.6%	33000	1669352.2686534338	1997082.9874034338	301.6641439092933	0.9720914934821634	23.5	57:13
6.8%	34000	1658538.3350596838	1986898.5850596838	302.2436044075942	0.9720914934821634	23.3	57:42
7.0%	35000	1646700.0499034338	1975712.3311534338	302.8437753332357	0.9720914934821634	23	58:10
7.2%	36000	1635510.6553721838	1964999.0928721838	303.2820597518314	0.9720914934821634	22.8	58:37
7.4%	37000	1627860.6241221838	1955265.9053721838	301.3645905893972	0.9720914934821634	22.6	59:00
7.6%	38000	1613559.7842784338	1942961.8467784338	303.2025547224294	0.9720914934821634	22.4	59:23
