#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	-46343.718685809756	11278.851626690244	256.88136087695784	0.955808202767729	0	--
0.4%	2000	-34690.935482684756	30061.877017315244	288.6679734243326	0.955808202767729	52.4	27:23
0.6%	3000	-34809.692318622256	32317.198306377744	299.25161133341635	0.955808202767729	52	27:31
0.8%	4000	-34935.751888934756	31803.466861065244	297.523370502026	0.955808202767729	52.5	27:11
1.0%	5000	-36311.706478778506	31013.926333721494	300.1376038067092	0.955808202767729	52.3	27:14
1.2%	6000	-38152.023373309756	28477.390689190244	297.03386131486724	0.955808202767729	52.2	27:15
1.4%	7000	-38519.905209247256	28053.399478252744	296.7837257771814	0.955808202767729	52	27:18
1.6%	8000	-38564.283138934756	28178.584048565244	297.53963523275553	0.955808202767729	51.8	27:20
1.8%	9000	-39087.828060809756	27251.429751690244	295.74034504228985	0.955808202767729	51.6	27:23
2.0%	10000	-40332.372982684756	26209.548892315244	296.643821230414	0.955808202767729	51.7	27:16
2.2%	11000	-40278.533138934756	26838.740298565244	299.20873792115077	0.955808202767729	51.6	27:18
2.4%	12000	-41148.918881122256	25721.432681377744	298.1079604491238	0.955808202767729	51.5	27:18
2.6%	13000	-41106.955013934756	26149.779361065244	299.83045464117714	0.955808202767729	51.3	27:20
2.8%	14000	-42128.063900653506	25043.732974346494	299.4518033510462	0.955808202767729	51	27:27
3.0%	15000	-41907.936459247256	25665.594790752744	301.24273479338535	0.955808202767729	50.5	27:39
3.2%	16000	-42040.748959247256	25631.586978252744	301.68320599153526	0.955808202767729	50.4	27:38
3.4%	17000	-43051.965756122256	24420.049868877744	300.79017823856924	0.955808202767729	50.2	27:41
3.6%	18000	-42456.250912372256	24372.983462627744	297.92466006833286	0.955808202767729	50.2	27:40
3.8%	19000	-43457.066342059756	23434.589907940244	298.20293672471126	0.955808202767729	50.1	27:39
4.0%	20000	-44385.367123309756	23090.836001690244	300.80884610938506	0.955808202767729	50	27:40
4.2%	21000	-45098.216732684756	21756.236392315244	298.03708523063443	0.955808202767729	49.9	27:40
4.4%	22000	-45059.842709247256	22282.547915752744	300.2123101180899	0.955808202767729	49.9	27:36
