#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.2%	1000	254.8086881530568	0	--
0.4%	2000	289.66719206156915	140	10:15
0.6%	3000	299.85830180928406	136	10:29
0.8%	4000	302.0653863106143	134	10:38
1.0%	5000	301.3171988960763	133	10:44
1.2%	6000	299.977774774213	131	10:49
1.4%	7000	300.08347213657277	130	10:54
1.6%	8000	298.2333631304955	129	10:59
1.8%	9000	298.1788937901898	128	11:04
2.0%	10000	299.67678798719624	127	11:08
2.2%	11000	298.0655236197814	125	11:13
2.4%	12000	299.0075064138449	124	11:17
2.6%	13000	298.1424796054573	123	11:21
2.8%	14000	300.5074770803562	122	11:28
3.0%	15000	300.04201871487106	121	11:31
3.2%	16000	300.11824033938063	120	11:34
3.4%	17000	297.24395073420396	120	11:37
3.6%	18000	298.3544314317513	119	11:40
3.8%	19000	300.63328074499526	118	11:44
4.0%	20000	299.61262001493463	117	11:47
4.2%	21000	299.68347320609007	117	11:50
4.4%	22000	301.0697191830092	116	11:53
4.6%	23000	300.81383230072714	115	11:56
4.8%	24000	297.69484849035587	114	11:59
5.0%	25000	299.3950971728958	114	12:02
5.2%	26000	300.17316549006546	113	12:05
5.4%	27000	300.0292053786578	112	12:07
5.6%	28000	298.2751457485821	112	12:11
5.8%	29000	295.16178359955336	111	12:13
6.0%	30000	297.73614997526454	110	12:16
6.2%	31000	296.437546205132	110	12:19
6.4%	32000	298.5941117227756	109	12:22
6.6%	33000	300.46650479183245	108	12:25
6.8%	34000	300.276837028518	108	12:28
7.0%	35000	298.9359188615231	107	12:31
7.2%	36000	297.31948864314484	106	12:35
7.4%	37000	301.07245404528396	106	12:38
7.6%	38000	299.05116291904574	105	12:41
7.8%	39000	300.6892441304325	104	12:44
8.0%	40000	300.5798749622408	103	12:48
8.2%	41000	299.3724332679336	103	12:51
8.4%	42000	301.74849680592575	102	12:53
8.6%	43000	299.6908927861503	102	12:56
8.8%	44000	300.89159861596596	101	12:59
9.0%	45000	296.7581328384512	100	13:02
9.2%	46000	295.2667466007467	99.9	13:05
9.4%	47000	299.6829920729121	99.4	13:07
9.6%	48000	298.1239433167062	98.8	13:10
9.8%	49000	298.0511655928389	98.3	13:12
10.0%	50000	299.67747170276493	97.8	13:15
10.2%	51000	298.71295161773355	97.3	13:17
10.4%	52000	299.05215050820044	96.8	13:19
10.6%	53000	298.0281218458942	96.2	13:22
10.8%	54000	298.14989918551754	95.7	13:24
11.0%	55000	299.06357109047747	95.3	13:26
11.2%	56000	298.7807154274304	94.9	13:28
11.4%	57000	298.808545183356	94.5	13:30
11.6%	58000	301.18891359715093	94	13:32
11.8%	59000	299.2830944336248	93.6	13:33
12.0%	60000	298.4885156516112	93.3	13:35
12.2%	61000	298.24615114390986	92.9	13:36
12.4%	62000	299.01490067110626	92.5	13:38
12.6%	63000	299.83741050024076	92.1	13:39
12.8%	64000	301.24348422865194	91.8	13:40
13.0%	65000	300.97508788374273	91.4	13:41
13.2%	66000	299.272433535313	91.1	13:43
13.4%	67000	300.6239872778208	90.7	13:44
13.6%	68000	297.54622898396167	90.3	13:46
13.8%	69000	295.8775831543745	90	13:47
14.0%	70000	299.58132103556795	89.6	13:48
14.2%	71000	301.49749722381983	89.3	13:49
14.4%	72000	298.1562552080265	89	13:50
14.6%	73000	299.6593912243929	88.7	13:51
14.8%	74000	299.2465536348981	88.5	13:52
15.0%	75000	298.92652410315327	88.2	13:52
15.2%	76000	298.7783604071382	87.9	13:53
15.4%	77000	298.88975539923706	87.7	13:53
15.6%	78000	297.51718373369175	87.4	13:53
15.8%	79000	297.99940579200916	87.2	13:54
16.0%	80000	297.30211720314037	86.9	13:54
16.2%	81000	299.95817492791053	86.7	13:55
16.4%	82000	297.53280790057624	86.5	13:55
16.6%	83000	299.16425453866685	86.3	13:55
16.8%	84000	296.2173138236171	86	13:55
17.0%	85000	298.22467741049326	85.8	13:55
17.2%	86000	298.9411100352854	85.6	13:55
17.4%	87000	301.9798712189303	85.4	13:55
17.6%	88000	298.99193289255805	85.2	13:55
17.8%	89000	300.6241645374127	85	13:55
18.0%	90000	299.98542225946284	84.8	13:55
18.2%	91000	299.0577974923418	84.6	13:55
18.4%	92000	297.9387576887865	84.4	13:54
18.6%	93000	299.01226710002686	84.3	13:54
18.8%	94000	298.24506226355976	84.1	13:54
19.0%	95000	299.11089940151015	83.9	13:53
19.2%	96000	296.5040945204845	83.8	13:53
19.4%	97000	297.762561654455	83.6	13:53
19.6%	98000	297.8754253688867	83.4	13:52
19.8%	99000	299.46017676591555	83.3	13:51
20.0%	100000	298.156812309601	83.1	13:51
20.2%	101000	296.52225096725306	83	13:50
20.4%	102000	298.1286027116928	82.8	13:50
20.6%	103000	298.45131646011464	82.7	13:49
20.8%	104000	298.0366303063045	82.6	13:48
21.0%	105000	298.6121668783488	82.4	13:48
21.2%	106000	299.3297896746864	82.3	13:47
21.4%	107000	297.8686641815962	82.1	13:46
21.6%	108000	297.84764625855877	82	13:46
21.8%	109000	298.5551399353603	81.9	13:45
22.0%	110000	300.358376440784	81.7	13:44
22.2%	111000	298.8054051562998	81.6	13:43
22.4%	112000	297.1418745320784	81.5	13:42
22.6%	113000	297.1048526001738	81.3	13:42
22.8%	114000	298.94584539866855	81.2	13:41
23.0%	115000	300.98045631709687	80.9	13:42
23.2%	116000	300.0733936626343	80.8	13:41
23.4%	117000	299.5217111670977	80.7	13:40
23.6%	118000	298.2617246651967	80.6	13:39
23.8%	119000	295.05061651264407	80.5	13:38
24.0%	120000	298.7698772695267	80.3	13:37
24.2%	121000	301.0756700407367	80.2	13:36
24.4%	122000	295.3215198146386	80.1	13:35
24.6%	123000	298.74103460164747	80	13:33
24.8%	124000	300.35194444987854	79.9	13:32
25.0%	125000	298.97998053150536	79.8	13:31
25.2%	126000	297.5574216610491	79.8	13:30
25.4%	127000	298.90748135842534	79.7	13:29
25.6%	128000	300.97802532840825	79.6	13:27
25.8%	129000	301.3464214059381	79.5	13:26
26.0%	130000	299.3396655662342	79.4	13:25
26.2%	131000	296.4837349902168	79.3	13:24
26.4%	132000	298.8026956168238	79.2	13:22
26.6%	133000	298.59697319904456	79.1	13:21
26.8%	134000	296.55681658767014	79	13:20
27.0%	135000	296.98669642078454	79	13:18
27.2%	136000	299.1005423767844	78.9	13:17
27.4%	137000	299.84204457242856	78.8	13:16
27.6%	138000	300.6157573681977	78.7	13:15
27.8%	139000	298.88580504261796	78.6	13:13
28.0%	140000	299.1963385247976	78.5	13:12
28.2%	141000	298.32120791967276	78.5	13:10
28.4%	142000	294.9642151230007	78.4	13:09
28.6%	143000	300.4226963498386	78.3	13:07
28.8%	144000	299.60616270123035	78.2	13:06
29.0%	145000	297.73777063439036	78.2	13:04
29.2%	146000	299.8450326626917	78.1	13:03
29.4%	147000	298.84432629811744	78	13:01
29.6%	148000	300.1677464111136	78	13:00
29.8%	149000	299.76638004949353	77.9	12:58
30.0%	150000	297.3201470359147	77.8	12:57
30.2%	151000	296.9382032610052	77.8	12:55
30.4%	152000	296.15142390103443	77.7	12:54
30.6%	153000	297.2724895284971	77.6	12:52
30.8%	154000	299.1693190984349	77.6	12:50
31.0%	155000	299.1105955279241	77.5	12:49
31.2%	156000	298.85215104295906	77.4	12:47
31.4%	157000	299.4954261019014	77.4	12:45
31.6%	158000	298.72424558601637	77.3	12:44
31.8%	159000	298.2011272075717	77.3	12:42
32.0%	160000	299.16891393365347	77.2	12:40
32.2%	161000	300.3016533713815	77.2	12:39
32.4%	162000	301.2741754608465	77.1	12:37
32.6%	163000	299.79778032005555	77.1	12:35
32.8%	164000	300.4338637041272	77	12:34
33.0%	165000	299.78420729987715	76.9	12:32
33.2%	166000	301.89172255616694	76.9	12:30
33.4%	167000	298.05187463120643	76.8	12:28
33.6%	168000	297.27405954202516	76.8	12:27
33.8%	169000	298.6662057310742	76.7	12:25
34.0%	170000	298.9941106532583	76.7	12:23
34.2%	171000	298.3090529762294	76.6	12:21
34.4%	172000	299.00874723098804	76.6	12:20
34.6%	173000	299.44987038678755	76.5	12:18
34.8%	174000	298.75567117937726	76.5	12:16
35.0%	175000	300.03614382554014	76.4	12:15
35.2%	176000	299.6971475174639	76.3	12:13
35.4%	177000	299.2283718653307	76.3	12:11
35.6%	178000	296.87765644897786	76.3	12:09
35.8%	179000	298.14404961898543	76.2	12:07
36.0%	180000	297.18347989057315	76.1	12:06
36.2%	181000	299.88073780905665	76.1	12:04
36.4%	182000	298.9833231409523	76.1	12:02
36.6%	183000	298.596593357062	76	12:00
36.8%	184000	297.5575229522445	76	11:58
37.0%	185000	302.5113207981935	75.9	11:56
37.2%	186000	300.7542224322569	75.9	11:54
37.4%	187000	299.7832450335212	75.9	11:53
37.6%	188000	301.1102609839527	75.8	11:51
37.8%	189000	297.2297699668533	75.8	11:49
38.0%	190000	299.3908935882883	75.7	11:47
38.2%	191000	299.47891563705747	75.7	11:45
38.4%	192000	300.848448566742	75.7	11:43
38.6%	193000	297.0990283564405	75.6	11:41
38.8%	194000	297.1018645099106	75.6	11:39
39.0%	195000	303.1238539793435	75.5	11:37
39.2%	196000	298.9571140441525	75.5	11:35
39.4%	197000	299.265925576011	75.5	11:33
39.6%	198000	297.8844909308715	75.4	11:31
39.8%	199000	298.2626109631561	75.4	11:29
40.0%	200000	297.33217536536387	75.4	11:27
40.2%	201000	297.5482548078689	75.3	11:25
40.4%	202000	297.14937008053516	75.3	11:23
40.6%	203000	298.26640938298215	75.3	11:21
40.8%	204000	300.49603117528034	75.2	11:19
41.0%	205000	298.3853758919343	75.2	11:18
41.2%	206000	298.61783918528903	75.2	11:16
41.4%	207000	298.73857829016	75.1	11:13
41.6%	208000	299.61279727452654	75.1	11:11
41.8%	209000	296.94002650252173	75	11:10
42.0%	210000	298.2581035049625	75	11:08
42.2%	211000	296.9032577986054	75	11:06
42.4%	212000	299.9224191359479	75	11:03
42.6%	213000	301.2760746707595	74.9	11:01
42.8%	214000	300.05146411883857	74.9	10:59
43.0%	215000	301.03160837075444	74.8	10:57
43.2%	216000	298.10672381349474	74.8	10:55
43.4%	217000	301.08974951689197	74.8	10:53
43.6%	218000	298.1630923637134	74.8	10:51
43.8%	219000	299.06906613782587	74.7	10:49
44.0%	220000	296.8696797673431	74.7	10:47
44.2%	221000	300.13533322859786	74.7	10:45
44.4%	222000	300.24799436063876	74.6	10:43
44.6%	223000	298.70753253878166	74.6	10:41
44.8%	224000	300.71978342583395	74.6	10:39
45.0%	225000	298.38659138627867	74.5	10:37
45.2%	226000	299.0740040835997	74.5	10:35
45.4%	227000	297.91092793286083	74.5	10:33
45.6%	228000	300.439282783079	74.5	10:31
45.8%	229000	294.71506410521016	74.4	10:29
46.0%	230000	299.55825196582435	74.4	10:27
46.2%	231000	297.47213447455465	74.4	10:24
46.4%	232000	297.6573707480721	74.4	10:22
46.6%	233000	298.56063498270856	74.3	10:20
46.8%	234000	298.118904079737	74.3	10:18
47.0%	235000	299.1911473510353	74.3	10:16
47.2%	236000	301.3993207327157	74.2	10:14
47.4%	237000	301.19633317721116	74.2	10:12
47.6%	238000	297.84288557237676	74.2	10:10
47.8%	239000	296.3842417135729	74.2	10:08
48.0%	240000	299.6199129810007	74.1	10:05
48.2%	241000	297.05901833427265	74.1	10:03
48.4%	242000	298.56977651308995	74.1	10:01
48.6%	243000	297.4740083616689	74.1	9:59
48.8%	244000	297.5087005960802	74	9:57
49.0%	245000	294.83995614909094	74	9:55
49.2%	246000	298.5726633121578	74	9:53
49.4%	247000	297.7659802322985	74	9:50
49.6%	248000	298.5131040892852	74	9:48
49.8%	249000	300.53619313424116	73.9	9:46
50.0%	250000	298.81935801846083	73.9	9:44
50.2%	251000	299.60183250262867	73.9	9:42
50.4%	252000	297.6015592994279	73.9	9:40
50.6%	253000	298.6484038034894	73.8	9:38
50.8%	254000	296.0668457529075	73.8	9:35
51.0%	255000	300.80466544754694	73.8	9:33
51.2%	256000	299.1117350538719	73.8	9:31
51.4%	257000	298.9183701619267	73.8	9:29
51.6%	258000	299.5674188190046	73.7	9:27
51.8%	259000	301.7403935102968	73.7	9:24
52.0%	260000	298.82634711094073	73.7	9:22
52.2%	261000	297.6701587614865	73.7	9:20
52.4%	262000	296.5808479237696	73.7	9:18
52.6%	263000	298.6089255600972	73.6	9:16
52.8%	264000	295.0961975505568	73.6	9:13
53.0%	265000	296.3776577858744	73.6	9:11
53.2%	266000	297.4550669081363	73.6	9:09
53.4%	267000	299.65503570299234	73.6	9:07
53.6%	268000	298.3251076306942	73.5	9:05
53.8%	269000	296.60335989193874	73.5	9:03
54.0%	270000	299.99448782144765	73.5	9:00
54.2%	271000	297.97871706535653	73.5	8:58
54.4%	272000	298.555494454544	73.4	8:56
54.6%	273000	295.86783387682095	73.4	8:54
54.8%	274000	299.3816760895104	73.4	8:52
55.0%	275000	299.2844365419633	73.4	8:49
55.2%	276000	296.69117935831724	73.4	8:47
55.4%	277000	298.54116175040036	73.3	8:45
55.6%	278000	299.5744332342834	73.3	8:43
55.8%	279000	295.3666450421721	73.3	8:41
56.0%	280000	302.24051878739436	73.3	8:38
56.2%	281000	299.15377089994695	73.3	8:36
56.4%	282000	296.68854578723784	73.2	8:34
56.6%	283000	297.1132597693887	73.2	8:32
56.8%	284000	298.56152128066805	73.2	8:29
57.0%	285000	297.02538965741263	73.2	8:27
57.2%	286000	299.1757004437427	73.2	8:25
57.4%	287000	299.48919669338665	73.1	8:23
57.6%	288000	298.4573432862387	73.1	8:21
57.8%	289000	301.3084625304764	73.1	8:18
58.0%	290000	296.87993550087344	73.1	8:16
58.2%	291000	299.4216861116782	73.1	8:14
58.4%	292000	296.17274569765806	73	8:12
58.6%	293000	297.10237096588736	73	8:09
58.8%	294000	299.8364988794825	73	8:07
59.0%	295000	298.3974042213835	73	8:05
59.2%	296000	300.20973161159094	73	8:03
59.4%	297000	299.79061396798375	73	8:00
59.6%	298000	300.2760266989551	72.9	7:58
59.8%	299000	297.4093592562294	72.9	7:56
60.0%	300000	302.62304498667726	72.9	7:53
60.2%	301000	298.55027795798287	72.9	7:51
60.4%	302000	299.99390539707434	72.9	7:49
60.6%	303000	298.9947690460282	72.9	7:47
60.8%	304000	297.5660567354537	72.9	7:44
61.0%	305000	298.67742373096047	72.8	7:42
61.2%	306000	299.7942351282179	72.8	7:40
61.4%	307000	297.59398778257463	72.8	7:38
61.6%	308000	296.7884189058643	72.8	7:35
61.8%	309000	295.85557764218225	72.8	7:33
62.0%	310000	297.60518045966205	72.8	7:31
62.2%	311000	296.0341033740069	72.8	7:28
62.4%	312000	297.2730972756693	72.7	7:26
62.6%	313000	297.32885807871577	72.7	7:24
62.8%	314000	298.4405542706075	72.7	7:22
63.0%	315000	298.26253499475956	72.7	7:19
63.2%	316000	298.0812490778613	72.7	7:17
63.4%	317000	299.8411329516703	72.7	7:15
63.6%	318000	296.21265442863046	72.6	7:12
63.8%	319000	297.9840601759119	72.6	7:10
64.0%	320000	298.4644083471151	72.6	7:08
64.2%	321000	300.14733623524825	72.6	7:06
64.4%	322000	300.1274831609574	72.6	7:03
64.6%	323000	299.49833822376803	72.6	7:01
64.8%	324000	299.4927418852243	72.6	6:59
65.0%	325000	297.3018386523531	72.6	6:56
65.2%	326000	298.6477707335183	72.5	6:54
65.4%	327000	300.28304111423387	72.5	6:52
65.6%	328000	297.6104729246197	72.5	6:49
65.8%	329000	297.8101178706773	72.5	6:47
66.0%	330000	301.11940251433407	72.5	6:45
66.2%	331000	297.1161465684566	72.5	6:42
66.4%	332000	298.00806618921257	72.5	6:40
66.6%	333000	299.6343976219374	72.4	6:38
66.8%	334000	297.3545860423376	72.4	6:36
67.0%	335000	297.096242848568	72.4	6:33
67.2%	336000	298.5107743917919	72.4	6:31
67.4%	337000	297.0981167356822	72.4	6:29
67.6%	338000	297.77448869270887	72.4	6:26
67.8%	339000	298.8058609666789	72.4	6:24
68.0%	340000	298.4674724057748	72.4	6:22
68.2%	341000	299.6627844794375	72.3	6:19
68.4%	342000	299.693475711632	72.3	6:17
68.6%	343000	300.5342179559316	72.3	6:15
68.8%	344000	296.320453583294	72.3	6:12
69.0%	345000	299.66559531010876	72.3	6:10
69.2%	346000	298.25010150052896	72.3	6:08
69.4%	347000	300.1645557384597	72.3	6:05
69.6%	348000	299.1600256312605	72.3	6:03
69.8%	349000	298.5287282561697	72.3	6:01
70.0%	350000	300.1430313594454	72.2	5:58
70.2%	351000	295.60923745506295	72.2	5:56
70.4%	352000	300.2441706180138	72.2	5:54
70.6%	353000	299.60715029038516	72.2	5:51
70.8%	354000	295.7085028265173	72.2	5:49
71.0%	355000	299.18418358135426	72.2	5:47
71.2%	356000	299.2110004253262	72.2	5:44
71.4%	357000	297.0889245597032	72.1	5:42
71.6%	358000	301.9124872512161	72.1	5:40
71.8%	359000	299.7571878735144	72.1	5:37
72.0%	360000	298.3490629983972	72.1	5:35
72.2%	361000	296.0204797082308	72.1	5:33
72.4%	362000	297.240304251171	72.1	5:30
72.6%	363000	302.02864292949687	72.1	5:28
72.8%	364000	297.8012295682843	72.1	5:25
73.0%	365000	299.99390539707434	72.1	5:23
73.2%	366000	300.9630342314947	72.1	5:21
73.4%	367000	300.2892451999498	72.1	5:18
73.6%	368000	296.7673503372291	72.1	5:16
73.8%	369000	300.57562073203565	72	5:14
74.0%	370000	299.91246727600367	72	5:11
74.2%	371000	295.67370930091056	72	5:09
74.4%	372000	298.6487329998743	72	5:07
74.6%	373000	300.18283879922245	72	5:04
74.8%	374000	297.7140684946757	71.9	5:02
75.0%	375000	299.3189768395816	71.9	5:00
75.2%	376000	297.2100688293555	71.9	4:57
75.4%	377000	300.6951696653611	71.9	4:55
75.6%	378000	300.6860281349797	71.9	4:53
75.8%	379000	298.5906424993345	71.8	4:51
76.0%	380000	298.62173889631043	71.8	4:48
76.2%	381000	299.7044404835299	71.8	4:46
76.4%	382000	296.8666663542811	71.8	4:44
76.6%	383000	295.7805968348158	71.8	4:41
76.8%	384000	297.9555213816188	71.8	4:39
77.0%	385000	297.68018658982726	71.7	4:36
77.2%	386000	298.3412635763544	71.7	4:34
77.4%	387000	300.7306975521342	71.7	4:32
77.6%	388000	298.41315500226216	71.7	4:29
77.8%	389000	297.08077061847655	71.7	4:27
78.0%	390000	300.6595151645938	71.7	4:25
78.2%	391000	300.7441439583184	71.7	4:22
78.4%	392000	298.2347558844317	71.6	4:20
78.6%	393000	297.2795292665747	71.6	4:18
78.8%	394000	300.94860023615564	71.6	4:15
79.0%	395000	298.7875525831173	71.6	4:13
79.2%	396000	298.55093635075275	71.6	4:11
79.4%	397000	299.0190789329149	71.6	4:08
79.6%	398000	297.548710618248	71.6	4:06
79.8%	399000	299.17124363114675	71.6	4:03
80.0%	400000	298.9163949836172	71.6	4:01
80.2%	401000	295.8661119264998	71.5	3:59
80.4%	402000	299.800413891135	71.5	3:56
80.6%	403000	300.03285186169086	71.5	3:54
80.8%	404000	297.124325832482	71.5	3:51
81.0%	405000	297.81115610542975	71.5	3:49
81.2%	406000	299.6555168361703	71.5	3:47
81.4%	407000	299.36159511002995	71.5	3:44
81.6%	408000	299.2542011201479	71.4	3:42
81.8%	409000	299.6773450887707	71.4	3:40
82.0%	410000	297.27489519438694	71.4	3:37
82.2%	411000	298.13630084254027	71.4	3:35
82.4%	412000	297.07431330477226	71.4	3:33
82.6%	413000	296.00490618694397	71.4	3:30
82.8%	414000	296.74387610270406	71.4	3:28
83.0%	415000	299.63799345937275	71.3	3:25
83.2%	416000	298.06248488392055	71.3	3:23
83.4%	417000	299.2450342669677	71.3	3:21
83.6%	418000	297.03562006814417	71.3	3:18
83.8%	419000	298.56919408871664	71.3	3:16
84.0%	420000	301.1321905277485	71.3	3:13
84.2%	421000	299.26410233449445	71.3	3:11
84.4%	422000	300.2323448709554	71.3	3:09
84.6%	423000	298.1594965262781	71.3	3:06
84.8%	424000	296.8645139163797	71.2	3:04
85.0%	425000	298.9921354749487	71.2	3:01
85.2%	426000	300.3635676145463	71.2	2:59
85.4%	427000	297.6331874751795	71.2	2:57
85.6%	428000	299.7145442802672	71.2	2:54
85.8%	429000	296.10090491734786	71.2	2:52
86.0%	430000	296.7698826171131	71.2	2:49
86.2%	431000	299.6813460909875	71.2	2:47
86.4%	432000	297.5963428028668	71.2	2:45
86.6%	433000	299.91887394411026	71.2	2:42
86.8%	434000	299.2106965517401	71.2	2:40
87.0%	435000	299.24295779746274	71.2	2:37
87.2%	436000	296.8236175962524	71.2	2:35
87.4%	437000	297.1963691951829	71.2	2:32
87.6%	438000	296.91239932898685	71.2	2:30
87.8%	439000	301.22401099634374	71.2	2:28
88.0%	440000	299.13161345096154	71.2	2:25
88.2%	441000	299.3769660489261	71.1	2:23
88.4%	442000	298.8876536069333	71.1	2:20
88.6%	443000	297.6749447704673	71.1	2:18
88.8%	444000	297.3212612390637	71.1	2:16
89.0%	445000	297.37605977575424	71.1	2:13
89.2%	446000	297.6633722513973	71.1	2:11
89.4%	447000	299.62538270555024	71.1	2:08
89.6%	448000	297.77122205165847	71.1	2:06
89.8%	449000	299.37218003994525	71.1	2:04
90.0%	450000	299.9397399303548	71	2:01
90.2%	451000	299.1148244353304	71	1:59
90.4%	452000	297.8661825473099	71	1:56
90.6%	453000	300.6707078416813	71	1:54
90.8%	454000	297.9869976205774	71	1:51
91.0%	455000	298.39403628913766	71	1:49
91.2%	456000	298.48626192251436	71	1:47
91.4%	457000	297.76658797947067	71	1:44
91.6%	458000	295.93818061199954	71	1:42
91.8%	459000	299.24323634825	71	1:39
92.0%	460000	298.03055283458286	71	1:37
92.2%	461000	298.94235085242855	71	1:34
92.4%	462000	302.71045928827425	71	1:32
92.6%	463000	297.4953301582925	71	1:30
92.8%	464000	299.87035546153214	71	1:27
93.0%	465000	299.1282455187158	71	1:25
93.2%	466000	296.8323792846512	71	1:22
93.4%	467000	299.87762310479934	71	1:20
93.6%	468000	299.26787543152165	70.9	1:17
93.8%	469000	298.1752473071568	70.9	1:15
94.0%	470000	296.46474289108653	70.9	1:13
94.2%	471000	299.59043724315046	70.9	1:10
94.4%	472000	296.8964459657174	70.9	1:08
94.6%	473000	298.2880603759907	70.9	1:05
94.8%	474000	297.639619466085	70.9	1:03
95.0%	475000	298.93011994058867	70.9	1:00
95.2%	476000	299.13386718005836	70.9	0:58
95.4%	477000	296.98608867361236	70.9	0:56
95.6%	478000	300.3628332533799	70.9	0:53
95.8%	479000	301.24586457174297	70.9	0:51
96.0%	480000	298.4977331503891	70.9	0:48
96.2%	481000	299.94807113117326	70.9	0:46
96.4%	482000	298.180134607333	70.9	0:43
96.6%	483000	299.2249786102861	70.9	0:41
96.8%	484000	301.2682499259178	70.9	0:38
97.0%	485000	299.83082657254226	70.9	0:36
97.2%	486000	296.9140453109115	70.9	0:34
97.4%	487000	295.90472919473143	70.9	0:31
97.6%	488000	298.9596969696342	70.9	0:29
97.8%	489000	299.66670951325773	70.9	0:26
98.0%	490000	296.2677315161083	70.9	0:24
98.2%	491000	299.3770166945238	70.9	0:21
98.4%	492000	298.63635015124134	70.9	0:19
98.6%	493000	300.48033103999927	70.9	0:17
98.8%	494000	300.40279262995	70.9	0:14
99.0%	495000	299.01206451763613	70.9	0:12
99.2%	496000	294.5944009687357	70.9	0:09
99.4%	497000	300.7775700527877	70.9	0:07
99.6%	498000	300.90777988442494	70.8	0:04
99.8%	499000	298.629588963951	70.8	0:02
100.0%	500000	298.8110014948435	70.8	0:00
